ID,CMN,FRA,PoS,score
1,环,ceinture,nouns,2.89
2,得到,mettre,verbs,0.25
3,总统,élève,nouns,0.6
4,成年人,tuteur,nouns,2.77
5,咬,combattre,verbs,1.77
6,最近,actuellement,adverbs,3.54
7,跑,chevaucher,verbs,0.93
8,海滩,côte,nouns,3.4
9,医生,médecin,nouns,5.31
10,徘徊,parcourir,verbs,2.85
11,地窖,porte,nouns,0.78
12,使气馁,échouer,verbs,2.5
13,背景,papier peint,nouns,3.2
14,接受,être d'accord,verbs,3.92
15,通知,reconnaître,verbs,0.65
16,通常,rarement,adverbs,1.03
17,有攻击性的,grossier,adjectives,1.78
18,锡,métal,nouns,3.17
19,花朵,longévité,nouns,0.43
20,肉,lard,nouns,3.29
21,酒,bière,nouns,4.44
22,不可能,amical,adverbs,0.09
23,外国人,traducteur,nouns,0.98
24,岛,péninsule,nouns,3.62
25,收缩,croître,verbs,0.89
26,蛋白质,poignée,nouns,0.1
27,暴力,doux,adjectives,0.65
28,判断,décider,verbs,3.6
29,枪,canon,nouns,2.42
30,相机,ouvrier,nouns,0.1
31,衣服,tiroir,nouns,0.74
32,冲洗,laver,verbs,4.67
33,相反,unique,adjectives,0.75
34,妻子,baignoire,nouns,0.05
35,断绝亲子关系 or...,donner,verbs,0.1
36,后部,queue,nouns,2.96
37,毁灭,créer,verbs,0.93
38,强大,faible,adjectives,0.7
39,存在,porte,nouns,0.15
40,橡木,érable,nouns,2.93
41,暴力,passif,adjectives,0.35
42,朋友,invité,nouns,3.04
43,需求,réprimander,verbs,0.54
44,服从,écouter,verbs,3.5
45,给,désavouer,verbs,0.1
46,订婚,rendez-vous,nouns,2.79
47,自豪的,humblement,adverbs,1.13
48,肩,corps,nouns,1.47
49,代码,symbole,nouns,3.16
50,忽略,explorer,verbs,0.3
51,一般,systématiquement,adverbs,3.65
52,使气馁,contrarier,verbs,2.29
53,容易地,confortablement,adverbs,1.63
54,知道,donner,verbs,0.3
55,金属,aluminium,nouns,3.15
56,豆,bacon,nouns,0.65
57,自豪,fort,adjectives,1.18
58,教学大纲,examen,nouns,1.18
59,某些,nerveux,adjectives,0.15
60,老师,rabbin,nouns,1.31
61,啤酒,alcool,nouns,4.44
62,主题,récit,nouns,1.32
63,通常,irrégulièrement,adverbs,0.92
64,风暴,nuage,nouns,1.46
65,说明,discuter,verbs,2.45
66,真实,malhonnête,adjectives,0.55
67,汽车,réservoir,nouns,1.02
68,空气,hélium,nouns,2.67
69,被动地,activement,adverbs,1.03
70,频繁,ignorant,adjectives,0.49
71,天气,nuage,nouns,2.34
72,伤心地,émotionnellement,adverbs,1.66
73,大厦,sculpteur,nouns,0.3
74,雪,météo,nouns,1.92
75,书,bible,nouns,3.03
76,机械师,ouvrier,nouns,2.98
77,巫师,câble,nouns,0.0
78,理解,lire,verbs,0.87
79,小心地,fermement,adverbs,2.08
80,打碎,fracasser,verbs,4.41
81,搂抱,étreindre,verbs,5.29
82,离开,rencontrer,verbs,0.53
83,不公平地,déraisonnablement,adverbs,2.95
84,社会生物学,mutant,nouns,0.47
85,选择,décider,verbs,4.46
86,提醒,dire,verbs,3.16
87,歌手,employé,nouns,0.38
88,末期地,principalement,adverbs,0.0
89,说话,chuchoter,verbs,3.5
90,完结,fini,adjectives,5.46
91,开心,jeune,adjectives,0.39
92,感觉,intuition,nouns,4.04
93,行星,lune,nouns,2.62
94,老鼠,rat,nouns,5.02
