ID,RUS,SWA,PoS,score
1,слайд,teleza,nouns,0.0
2,покрывало,blanketi,nouns,0.0
3,оплата,malipo,nouns,2.27
4,священник,mungu,nouns,0.8
5,полагать,kufikiri,verbs,1.05
6,нелегальный,haramu,adjectives,0.2
7,глубоко,kwa undani,adverbs,0.2
8,ездить,kuendesha,verbs,0.2
9,наклон,benki,nouns,0.0
10,солдат,mwanajeshi,nouns,0.4
11,получать,kutuma,verbs,0.2
12,график,jedwali,nouns,3.5
13,дорогой,ghali,adjectives,0.0
14,участвовать,kusema,verbs,0.35
15,грубо,takribani,adverbs,0.25
16,становиться,kujitokeza,verbs,0.95
17,ложка,kijiko,nouns,0.15
18,мудрость,akili,nouns,3.7
19,собираться,kuhudhuria,verbs,0.4
20,угождать,kuridhisha,verbs,1.95
21,кобыла,farasi,nouns,4.2
22,нападать,kushambulia,verbs,0.32
23,сфера,mviringo,nouns,1.7
24,святой,mkosaji,nouns,0.2
25,завязать,kuvunga,verbs,0.15
26,мед,asali,nouns,0.1
27,громко,kwa sauti,adverbs,0.2
28,решать,kutoa suluhisho,verbs,1.7
29,иметь,kufyonza,verbs,0.25
30,узкий,mrefu,adjectives,0.25
31,задыхаться,kupumua,verbs,0.3
32,бейсбол,undugu,nouns,0.3
33,дерево,gogo,nouns,3.55
34,отец,mungu,nouns,1.7
35,останавливать,kusimamisha,verbs,1.13
36,ассистировать,kusaidia,verbs,4.8
37,желудок,mwili,nouns,1.15
38,дом,ufunguo,nouns,0.8
39,доверчивый,kukubali kirahisi,adjectives,0.25
40,грязный,mwembamba,adjectives,0.0
41,беспомощный,hoi,adjectives,2.05
42,освобождать,kuondoka,verbs,0.45
43,президент,kamera,nouns,0.1
44,жесткий,mkorofi,adjectives,1.35
45,нос,kinywa,nouns,0.6
46,пациент,mgonjwa,nouns,0.15
47,уверенно,kwa kujiamini,adverbs,0.05
48,ученик,rais,nouns,0.2
49,лошадь,farasi wa kike,nouns,4.2
50,эвакуировать,kuondoka,verbs,0.1
51,корова,mbuzi,nouns,0.5
52,фантазия,uhalisi,nouns,0.3
53,храпеть,kung'orota,verbs,0.2
54,принимать,kuamini,verbs,1.55
55,голодный,kua na njaa,adjectives,0.25
56,идеально,walau,adverbs,0.55
57,ценность,imani,nouns,0.65
58,герцог,mjuzi,nouns,0.15
59,творчески,kiubunifu,adverbs,0.65
60,получать,kushindwa,verbs,0.1
61,мина,machimbo,nouns,0.1
62,приносить,kuja,verbs,0.65
63,спокойный,utulivu,adjectives,1.85
64,злой,mwenye furaha,adjectives,0.15
65,древесина,gogo,nouns,2.8
66,скот,ngombe,nouns,2.65
67,падать,kuanguka,verbs,0.7
68,юбилей,mwaka,nouns,0.95
69,народ,bunduki,nouns,0.1
70,металл,bati,nouns,1.35
71,гость,rafiki,nouns,0.65
72,слушать,kutii,verbs,1.75
73,сплетня,habari,nouns,1.75
74,пассивный,kupooza,adjectives,0.05
75,убивать,ua,verbs,0.25
76,исчезать,kupungua,verbs,0.9
77,мальчик,kijana,nouns,3.3
78,оценивать,kuchanganua,verbs,3.85
79,виноватый,mkweli,adjectives,0.1
80,действие,mwendo,nouns,0.55
81,дважды,mara mbili,adverbs,0.05
82,делать,kuacha,verbs,0.15
83,зубы,mfupa,nouns,0.75
84,шериф,polisi,nouns,4.85
85,фильм,filamu,nouns,2.43
86,тремор,kutetemeka,nouns,1.7
87,горчица,mbegu,nouns,0.75
88,трудный,bila jasho,adjectives,0.05
89,милый,mkorofi,adjectives,0.05
90,находить,pata,verbs,0.65
91,угроза,hatari,nouns,4.6
92,коробка,lifti,nouns,0.35
93,пляж,mchanga,nouns,0.75
94,кухня,mlango,nouns,0.45
95,реальность,njozi,nouns,0.35
96,усталый,choka,adjectives,0.25
97,указатель,kionyeshi,nouns,0.0
98,конгресс,mkutano,nouns,2.25
99,ученый,muuguzi,nouns,0.2
100,отвергать,kukubali,verbs,0.1
101,костюм,sherehe,nouns,0.55
102,атмосфера,hali ya anga,nouns,2.2
103,человек,mlinzi,nouns,0.9
104,изучать,kupeleleza,verbs,5.35
105,мгла,wingu,nouns,1.55
106,отвергать,kuepa,verbs,1.3
107,отрицательно,kwa ubaya,adverbs,0.2
108,требовать,hitaji,verbs,0.45
109,решительно,kiukakamavu,adverbs,0.4
110,кость,meno,nouns,0.75
111,ноль,sufuri,nouns,0.25
112,арифметика,pigo,nouns,0.1
113,пытаться,kutimiza,verbs,1.15
114,собирать,kuchukua,verbs,0.0
115,плечо,mwili,nouns,1.05
116,замечать,kutoa maoni,verbs,0.8
117,мотор,boti,nouns,1.45
118,терять,kupata,verbs,0.1
119,беспокоить,kusumbua,verbs,1.32
120,флот,jeshi la wanamaji,nouns,0.35
121,строчить,kuandika,verbs,2.25
122,сжиматься,kupunguza,verbs,3.3
123,большой,mkubwa sana,adjectives,4.55
124,роза,waridi,nouns,0.35
125,разложение,utengano,nouns,0.65
126,рис,mvulana,nouns,0.0
127,барабан,pembe,nouns,0.45
128,биотоп,ekolojia,nouns,0.65
129,рука,bega,nouns,1.75
130,посылать,kupokea,verbs,0.2
131,гонка,mbio,nouns,0.0
132,провалиться,kushidwa,verbs,0.05
133,контролировать,kudhibiti,verbs,0.7
134,автострада,jukumu,nouns,0.2
135,математик,mwanamahesabu,nouns,0.0
136,меч,sime,nouns,0.1
137,современный,wa kale,adjectives,0.1
138,легкое,ini,nouns,0.6
139,обед,ugali,nouns,1.55
140,герцогство,dukedom,nouns,2.15
141,прочный,ngumu,adjectives,2.9
142,ключ,neno,nouns,0.25
143,принимать,kukana,verbs,0.1
144,рисовать,kuchora,verbs,0.5
145,игра,tendo,nouns,1.5
146,недоразвившийся,kutokomaa,adjectives,0.0
147,часто,mara nyingi,adverbs,0.85
148,грязный,rahisi,adjectives,0.05
149,помолвка,uchumba,nouns,0.85
150,посредственный,mtumba,adjectives,0.75
151,брат,roho ,nouns,0.55
152,брать,kuiba,verbs,0.8
153,госпожа,bwana,nouns,1.1
154,предприятие,kampuni,nouns,3.15
155,петь,kuimba,verbs,0.1
156,бок,juu,nouns,0.45
157,входить,kwenda,verbs,0.6
158,подозревать,kushukia,verbs,0.15
159,беспокоить,kusumbua,verbs,0.3
160,уверенный,ana kujiamini,adjectives,3.0
161,верить,kujua,verbs,0.65
162,объединяться,kushirikiana,verbs,3.15
163,компас,dira,nouns,0.0
164,шляпка,msumari,nouns,0.7
165,строить,kuharibu,verbs,0.05
166,заглавное слово,nenokuu,nouns,0.5
167,виза,mhuri,nouns,0.25
168,диод,diode,nouns,1.45
169,крошечный,mkubwa mno,adjectives,0.05
170,воля,hiari,nouns,1.8
171,век,miaka kumi,nouns,0.35
172,задолжать,kukopesha,verbs,0.9
173,ужасный,poa,adjectives,0.05
174,кровь,nyama,nouns,1.25
175,тяжелый,mzigo,adjectives,2.15
176,вода,maji,nouns,0.45
177,десятилетие,karne,nouns,0.35
178,просить,kuomba,verbs,4.4
179,обвинять,kulaumu,verbs,0.0
180,прибор,chungu,nouns,0.55
181,кокпит,chumba cha rubani,nouns,0.5
182,наслаждаться,kufurahia,verbs,0.0
183,туча,dhoruba,nouns,0.75
184,мужчина,mwanamke,nouns,0.45
185,официально,rasmi,adverbs,0.43
186,намерение,nia,nouns,1.8
187,табуретка,kigoda,nouns,3.0
188,шпиль,kanisa dogo,nouns,0.75
189,тупой,mkubwa mno,adjectives,0.0
190,рука,mshipa,nouns,0.65
191,север,kusini,nouns,0.25
192,окно,mlango,nouns,0.85
193,страница,aya,nouns,0.45
194,подождать,kungoja,verbs,0.1
195,осторожно,kwa utaratibu,adverbs,0.3
196,бутерброд,chakula cha mchana,nouns,1.55
197,телевидение,runinga,nouns,1.77
198,печальный,huzuni,adjectives,0.05
199,мышь,menejimenti,nouns,0.35
200,герой,mwanamke wa shujaa,nouns,2.25
201,удар,pigo,nouns,0.0
202,уменьшаться,kupungua,verbs,1.95
203,хромать,kuchechemea,verbs,1.55
204,писатель,mwandishi,nouns,0.7
205,казаться,kuwa,verbs,0.88
206,честно говоря,kwa kweli,adverbs,0.0
207,напоминать,kusahau,verbs,0.05
208,оптимистически,kwa matuamini,adverbs,0.85
209,кукуруза,nafaka,nouns,3.6
210,покидать,kujitokeza,verbs,0.45
211,пустыня,jangwa,nouns,2.15
212,глаз,chozi,nouns,1.2
213,партнер,mvulana,nouns,0.45
214,находить,kupotea,verbs,0.1
215,беспокоиться,kuwa na wasiwasi,verbs,0.0
216,хранить,kutunza,verbs,2.25
217,цивилизация,ustaarabu,nouns,1.2
218,пытаться,kufanikiwa,verbs,0.6
219,анатомия,biolojia,nouns,0.95
220,театр,ukumbi,nouns,0.4
221,жвачка,fizi,nouns,0.15
222,трава,mzizi,nouns,0.55
223,бутылка,chombo,nouns,0.5
224,предприятие,viwanda,nouns,1.65
225,оценивать,kujifunza,verbs,1.5
226,традиция,utamaduni,nouns,0.35
227,думать,kutafakari,verbs,5.15
228,в принципе,kimsingi,adverbs,0.3
229,колокол,mnara,nouns,0.55
230,скорость,mwendo,nouns,0.0
231,гордый,kujivunia,adjectives,0.05
232,ненормальный,wa kigeni,adjectives,3.8
233,ловить,kudaka,verbs,0.05
234,триумф,ushindi,nouns,4.1
235,благоразумно,kwa siri,adverbs,0.25
236,хаос,mchafuko,nouns,4.55
237,комбинировать,kujumuisha,verbs,2.95
238,бумага,kuni,nouns,0.55
239,искусства,mchoro,nouns,1.0
240,невежественный,mjinga,adjectives,0.05
241,беседа,mawasiliano,nouns,4.85
242,утешать,kufaraja,verbs,0.05
243,нырять,piga mbizi,verbs,0.0
