ID,FRA,POL,PoS,score
1,bizarre,dziwny,adjectives,5.53
2,obtenir,kłaść,verbs,0.25
3,jeune,niespokojny,adjectives,1.0
4,débuter,zaczynać,verbs,5.25
5,parler,uznawać,verbs,0.5
6,flore,natura,nouns,3.45
7,indécis,neutralny,adjectives,2.45
8,ordinaire,nieprawdopodobny,adjectives,0.7
9,violon,gitara,nouns,2.25
10,pierre,kopalnia,nouns,1.3
11,responsablement,niezależnie,adverbs,1.1
12,capitaine,żeglarz,nouns,3.2
13,représenter,powiadamiać,verbs,1.35
14,convaincre,argumentować,verbs,3.4
15,constitution,cesarz,nouns,0.6
16,créateur,autor,nouns,5.5
17,pop-corn,kino,nouns,1.1
18,magistrat,sędzia,nouns,4.4
19,force,wytrzymałość,nouns,3.05
20,cuirassé,drednot,nouns,4.65
21,galaxie,aplikacja,nouns,0.1
22,aller,sprzedawać,verbs,0.2
23,jus,łyżka,nouns,0.5
24,massivement,otwarcie,adverbs,0.75
25,badge,szklanka,nouns,0.3
26,salaire,pieniądze,nouns,3.9
27,croiseur,pancernik,nouns,4.65
28,imaginer,udawać,verbs,1.8
29,annuler,odrzucić,verbs,3.1
30,baseball,koszykówka,nouns,2.4
31,faux,sztuczny,adjectives,4.5
32,médaille,adidasy,nouns,0.3
33,télévision,aktor,nouns,1.2
34,svelte,wąski,adjectives,2.8
35,spirituel,bezcielesny,adjectives,4.45
36,livre,motyw,nouns,0.65
37,poignet,ręka,nouns,2.55
38,lire,gryźć,verbs,0.0
39,concept,przekonanie,nouns,2.25
40,groupe,trunek,nouns,0.15
41,dinosaure,słoń,nouns,1.1
42,coeur,chirurgia,nouns,1.05
43,errer,szukać,verbs,1.75
44,économie,ekosystem,nouns,0.8
45,dernièrement,niedawno,adverbs,5.65
46,république,książę,nouns,0.3
47,parapsychologie,neuropsychologia,nouns,1.85
48,hurler,krzyczeć,verbs,5.65
49,tâche,wyspa,nouns,0.05
50,enterrer,przykryć,verbs,3.0
51,critique,niegrzeczny,adjectives,0.65
52,bruyamment,subtelnie,adverbs,0.65
53,branche,ramię,nouns,0.95
54,sérieusement,szczerze,adverbs,2.05
55,danger,zagrożenie,nouns,5.7
56,déchirer,nosić,verbs,0.1
57,intelligent,tępy,adjectives,0.75
58,brillamment,lekko,adverbs,0.45
59,manifeste,nieujawniony,adjectives,0.4
60,représenter,decydować,verbs,0.8
61,fort,mocny,adjectives,5.0
62,convaincre,próbować,verbs,1.15
63,décoration,ściana,nouns,1.15
64,nerveux,przestraszony,adjectives,1.65
65,ordinaire,przeciętny,adjectives,3.35
66,conquête,hymn,nouns,0.4
67,heureux,młody,adjectives,0.5
68,collant,brudny,adjectives,2.1
69,confidentiel,jawny,adjectives,0.4
70,adulte,rodzic,nouns,3.05
71,obtenir,pozostać,verbs,0.2
72,accepter,dostarczać,verbs,0.55
73,véhicule,autobus,nouns,3.7
74,prier,komunikować,verbs,0.7
75,cheval,wół,nouns,2.0
76,symbole,znak,nouns,5.6
77,cuillère,sok,nouns,0.5
78,combattre,bawić się,verbs,0.7
79,robe,taniec,nouns,0.45
80,casser,pękać,verbs,3.55
81,croyance,wartość,nouns,2.45
82,infraction,oszustwo,nouns,4.4
83,pomme,cukierek,nouns,1.1
84,crédit,pożyczkobiorca,nouns,1.7
85,achevé,skończony,adjectives,5.4
86,émotion,pasja,nouns,3.05
87,bien,pikantny,adjectives,0.4
88,fier,śmiały,adjectives,2.0
89,moine,krzyż,nouns,1.15
90,perdre,odejmować,verbs,1.85
91,possibilité,wolność,nouns,4.55
92,accuser,kłamać,verbs,0.5
93,chèvre,krowa,nouns,1.85
94,éclaireur,łucznik,nouns,1.85
95,dollar,milioner,nouns,1.25
96,avocat,bankier,nouns,1.1
97,plonger,tworzyć,verbs,0.1
98,marginalement,pobieżnie,adverbs,1.2
99,certainement,wyraźnie,adverbs,3.4
100,après,przed,adverbs,1.15
101,tasse,rożek,nouns,0.3
102,proclamer,ogłaszać,verbs,4.85
103,ignorant,regularny,adjectives,0.45
104,sagesse,inteligencja,nouns,4.35
105,au-delà,czyściec,nouns,2.55
106,principalement,przeważnie,adverbs,5.1
107,souris,pokład,nouns,0.05
108,doux,średni,adjectives,0.9
109,course,filozof,nouns,0.15
110,accepter,wybaczać,verbs,2.25
111,session,pacjent,nouns,0.1
112,répéter,ćwiczyć,verbs,3.75
113,intensité,gwiazda,nouns,1.2
114,privé,osobisty,adjectives,5.4
115,choix,rozdział,nouns,0.55
116,sournois,hardy,adjectives,1.0
117,fissurer,złamać się,verbs,3.55
118,apocalypse,ogień,nouns,1.4
119,permettre,pozwalać,verbs,5.2
120,communiquer,modlić się,verbs,0.7
121,médecin,usposobienie,nouns,0.0
122,éclaboussure,lepkość,nouns,0.3
123,intelligent,bystry,adjectives,4.95
124,sembler,stać się,verbs,1.05
125,rapidement,pilnie,adverbs,4.3
126,acquérir,uzyskać,verbs,4.95
127,femme,zadanie,nouns,0.05
128,appartement,hotel,nouns,1.9
129,terminer,złapać,verbs,0.2
130,haricot,bekon,nouns,0.85
131,corps,kręgosłup,nouns,1.5
132,lit,szpital,nouns,0.95
133,homophone,fotofon,nouns,0.3
134,bronchite,acetaminofen,nouns,1.0
135,pied,piasek,nouns,0.3
136,enseignant,rabin,nouns,2.1
137,permettre,dać,verbs,1.55
