ID,HEB,SPA,PoS,score
1,בגדים,capa,nouns,1.7
2,להרוג,lucha,verbs,0.75
3,גבה,ojo,nouns,0.85
4,מוח,nervio,nouns,0.85
5,שטח,región,nouns,4.3
6,לסמוך,depender,verbs,2.7
7,זהב,zinc,nouns,1.5
8,לוח שנה,vacaciones,nouns,1.35
9,לקבור,morir,verbs,1.1
10,רוח,chubasco,nouns,1.95
11,לשכוח,recordar,verbs,0.55
12,אלסטי,flexible,adjectives,4.9
13,מרחק,perspectiva,nouns,2.1
14,תלמיד,profesor,nouns,1.05
15,דלת,campana,nouns,0.7
16,לקבל,tomar,verbs,1.3
17,דגל,polo,nouns,0.9
18,עוגן,bote,nouns,1.2
19,להיפגש,saludar,verbs,0.6
20,זרוע,hombro,nouns,1.45
21,לקצור,ganancia,verbs,1.55
22,פרקליט,abogado,nouns,4.6
23,להרוויח,recoger,verbs,1.55
24,אקדח,gente,nouns,0.35
25,כנסייה,coro,nouns,1.35
26,ביצה,lago,nouns,2.1
27,מטבע,pago,nouns,1.95
28,לאפות,freír,verbs,1.75
29,ארכיבישוף,obispo,nouns,3.05
30,זרע,molino,nouns,1.2
31,הורה,padre,nouns,4.15
32,ספינת תותחים,costa,nouns,0.95
33,בחור,semental,nouns,1.1
34,בייסבול,fraternidad,nouns,0.4
35,ביולוג,microscopio,nouns,1.2
36,עצבני,cierto,adjectives,0.2
37,לפתור,terminar,verbs,2.55
38,רע,estupendo,adjectives,0.35
39,מרק,cena,nouns,1.95
40,טלויזיה,actor,nouns,0.95
41,זריז,rápido,adjectives,5.55
42,חלש,poderoso,adjectives,0.65
43,עסק,sociedad,nouns,2.55
44,רחוב,callejón,nouns,3.6
45,כסף,capital,nouns,4.35
46,כותנה,suéter,nouns,1.0
47,לשרוק,detener,verbs,0.35
48,בוודאי,claramente,adverbs,3.35
49,לבקש,rezar,verbs,2.0
50,שמיים,universo,nouns,1.55
51,מותר,legal,adjectives,4.2
52,אחווה,puerta,nouns,0.2
53,קערה,plato,nouns,2.6
54,נמלה,abeja,nouns,1.2
55,לסיים,competir,verbs,0.2
56,אי,armada,nouns,0.4
57,כעס,frustración,nouns,3.8
58,לחסוך,gastar,verbs,0.55
59,עניין,conciencia,nouns,1.45
60,תותח,pistola,nouns,1.95
61,קשה,fácil,adjectives,0.6
62,סטודנט,profesor,nouns,0.9
63,אנרכיה,caos,nouns,4.05
64,כפל,división,nouns,1.2
65,אגודל,uña,nouns,1.65
66,צלחת,cuenco,nouns,2.6
67,לפעמים,seguramente,adverbs,0.5
68,לזרוח,irradiar,verbs,4.15
69,לא סביר,simpático,adverbs,0.0
70,חיל הים,isla,nouns,0.4
71,למסור,tomar,verbs,0.95
72,סטייק,pollo,nouns,2.15
73,חור,esposa,nouns,0.0
74,בית,estado,nouns,0.75
75,חוש,intuición,nouns,4.05
76,היסטריה,confusión,nouns,1.45
77,סילבוס,examen,nouns,0.65
78,שמח,alegre,adjectives,5.3
79,לחלוטין,verdaderamente,adverbs,1.2
80,זרוע,cuerpo,nouns,1.3
81,מתנגד,adversario,nouns,4.45
82,להעציב,herir,verbs,1.2
83,צוואר,espina,nouns,1.0
84,הוכחה,hecho,nouns,2.05
85,לעזור,proteger,verbs,1.4
86,לסדר,recoger,verbs,1.75
87,אגדה,moral,nouns,0.45
88,רופא,ortodoncista,nouns,2.3
89,לנתק,dividir,verbs,1.6
90,שיר,ritmo,nouns,1.55
91,שפה,boca,nouns,1.85
92,כובע,capa,nouns,0.95
93,קמפיין,mono,nouns,0.05
94,מטרייה,calentador,nouns,0.65
95,בחוכמה,maduro,adverbs,1.25
96,ספר,accidente,nouns,0.1
97,נשמה,hermano,nouns,0.25
98,פרוזדור,clase,nouns,0.55
99,כתף,brazo,nouns,1.45
100,גג,piso,nouns,1.2
101,תמימות דעים,moneda,nouns,0.75
102,סערה,nube,nouns,1.65
103,להגדיר,aclarar,verbs,3.15
104,אסטרואיד,estrella,nouns,2.3
105,תפוח,dieta,nouns,0.95
106,מהומה,dibujo,nouns,0.15
107,קישוט,pared,nouns,0.75
108,להסיק,decidir,verbs,1.95
109,מדליה,zapatillas,nouns,0.6
110,רעיון,imagen,nouns,1.25
111,להרוג,destruir,verbs,1.75
112,חשמלי,dulce,adjectives,0.0
113,מבוגר,bebé,nouns,1.0
114,תקרה,tejado,nouns,4.3
115,אישה,pantalones,nouns,0.45
116,אחווה,béisbol,nouns,0.4
117,ערפל,nube,nouns,2.55
118,מצחיק,grave,adjectives,0.45
119,פשע,fraude,nouns,2.65
120,הנהלה,administración,nouns,2.85
121,מקור,caja,nouns,0.1
122,רטוב,pegajoso,adjectives,0.95
123,קיבה,cintura,nouns,1.1
124,תמים,gratis,adjectives,0.15
125,מאה,año,nouns,1.85
126,לדכא,animar,verbs,0.65
127,להרוס,crear,verbs,0.55
128,לדעת,entender,verbs,2.9
129,לציית,castigar,verbs,0.9
130,צנוע,avergonzado,adjectives,1.35
131,עצבני,joven,adjectives,0.3
132,לקבל,negar,verbs,0.25
133,מנהל,líder,nouns,3.2
134,מצלמה,continuación,nouns,0.1
135,התחיל,empezar,verbs,5.65
136,ים,playa,nouns,2.85
137,נפלא,hermoso,adjectives,2.35
138,מוניטור,pantalla,nouns,4.6
139,סטודנט,alumno,nouns,5.35
140,טייס,policía,nouns,0.75
141,לבנה,pared,nouns,1.5
142,פרה,ganado,nouns,3.25
143,מכונית,autopista,nouns,1.4
144,קפיצה,cerca,nouns,0.55
145,להאשים,juzgar,verbs,2.7
146,מטרה,ganador,nouns,0.85
147,למצוא,desaparecer,verbs,0.65
148,זמר,actor,nouns,1.3
149,גודל,truco,nouns,0.0
150,אוטובוס,vehículo,nouns,2.2
151,וקטור,matriz,nouns,2.25
152,סכנה,enfermedad,nouns,1.0
153,ללכת,venir,verbs,1.3
154,לגעור,pedir,verbs,1.25
155,יקר,tímido,adjectives,0.25
156,מכונית,coche,nouns,5.7
157,להחזיר,traer,verbs,0.65
158,מטען,circunnavegación,nouns,0.65
159,תסכול,enfado,nouns,3.8
160,משכורת,dinero,nouns,3.65
161,גלוי,no revelado,adjectives,0.5
162,סקי,snowboard,nouns,2.7
163,זווית,curva,nouns,2.45
164,לשאת,tomar,verbs,1.3
165,מעיל,ropa,nouns,1.63
166,אל,diablo,nouns,1.2
167,אי,tarea,nouns,0.05
168,עכשיו,aquí,adverbs,2.4
169,לרדת,disminución,verbs,2.0
170,רעיון,opinión,nouns,3.3
171,דודה,sobrino,nouns,0.95
172,לשכנע,discutir,verbs,1.5
173,פוליטיקאי,presidente,nouns,2.2
174,מורה,estudiante,nouns,1.05
175,כתר,llave,nouns,0.1
176,הססן,colérico,adjectives,1.0
177,פשתן,tela,nouns,2.45
178,אצן,atleta,nouns,2.8
179,תקופה,episodio,nouns,4.55
180,דביק,sucio,adjectives,1.25
181,גשר,coche,nouns,0.5
182,שונית,playa,nouns,1.8
183,לנדוד,deambular,verbs,4.9
184,טיפול,behaviorismo,nouns,1.1
185,פאסיבי,violento,adjectives,0.4
186,לטבוע,salvar,verbs,0.7
187,לתאר,notificar,verbs,0.75
188,דיודה,condensador,nouns,2.0
