ID,SPA,YUE,PoS,score
1,antiguo,雜,adjectives,0.14
2,botella,廣口瓶,nouns,2.88
3,dios,獵物,nouns,0.0
4,murciélago,吸血殭屍,nouns,1.45
5,huracán,暴風雨,nouns,3.19
6,carne,麵包,nouns,0.43
7,viaje,征服,nouns,0.49
8,adulto,監護人,nouns,2.02
9,techo,窗口,nouns,0.52
10,analizar,評估,verbs,4.53
11,oveja,羊肉,nouns,3.76
12,dibujo,暴動,nouns,0.1
13,verificar,說,verbs,0.4
14,esencialmente,關鍵地,adverbs,0.73
15,entropía,信息,nouns,0.49
16,brújula,大象,nouns,0.1
17,llegar,來,verbs,2.13
18,caos,類別,nouns,0.1
19,corazón,手術,nouns,0.86
20,piso,甲板,nouns,0.58
21,felicidad,悲傷,nouns,0.49
22,vena,肚,nouns,0.34
23,proteína,柄,nouns,0.2
24,concurrencia,貨幣,nouns,0.15
25,celebrar,使驚奇,verbs,0.55
26,tormenta,雪,nouns,0.92
27,río,大海,nouns,2.29
28,modesto,羞愧,adjectives,0.58
29,zapatillas,獎章,nouns,0.15
30,compañero,朋友,nouns,4.04
31,ratón,容器,nouns,0.05
32,niño,士兵,nouns,0.75
33,diccionario,百科全書,nouns,2.48
34,fotófono,同音詞,nouns,0.4
35,raro,笨,adjectives,0.24
36,sospechar,男人,nouns,0.38
37,enfado,狂怒,nouns,4.19
38,coronación,水,nouns,0.0
39,irradiar,照耀,verbs,3.77
40,manta,木,nouns,0.05
41,maduro,正直地,adverbs,0.69
42,posiblemente,樂觀地,adverbs,0.83
43,periódico,資料,nouns,2.32
44,colgar,放,verbs,1.41
45,gratis,無辜,adjectives,0.05
46,violín,樂器,nouns,2.4
47,sacerdote,僧侶,nouns,3.24
48,sombrero,大褸,nouns,0.58
49,estrella,行星,nouns,2.25
50,monedero,袋,nouns,2.22
51,templado,適中,adjectives,2.55
52,adjuntar,分離,verbs,0.05
53,retratar,通知,verbs,0.3
54,caramelo,肉桂,nouns,0.58
55,monarquía,民主,nouns,0.65
56,tronco,沖涼,nouns,0.0
57,gente,槍,nouns,0.33
58,rama,手臂,nouns,0.65
59,sutilmente,冷靜地,adverbs,1.35
60,escritor,作曲家,nouns,2.33
61,destruir,保留,verbs,0.1
62,aceptar,運送,verbs,0.2
63,tanque,汽車,nouns,0.67
64,biólogo,顯微鏡,nouns,1.02
65,lluvia,冰雹,nouns,1.06
66,pistola,筆記本,nouns,0.05
67,fresa,櫻桃,nouns,1.97
68,enfadado,開心,adjectives,0.6
69,cola,章,nouns,0.1
70,enojado,暴力,adjectives,1.27
71,morder,搏鬥,verbs,0.53
72,teatro,電影,nouns,1.54
73,aprobar,准許,verbs,3.23
74,hervir,炒,verbs,0.63
75,disfraz,球,nouns,0.15
76,esquema,主意,nouns,3.59
77,hombre,叔叔,nouns,2.29
78,orgulloso,貧窮,adjectives,0.1
79,hombre,勝利者,nouns,0.53
80,avanzar,促進,verbs,1.66
81,alegre,瘋狂,adjectives,0.38
82,elección,靜脈,nouns,0.04
83,romper,穿,verbs,0.0
84,coche,單車,nouns,1.07
85,hierba,苔蘚,nouns,2.33
86,legión,軍隊,nouns,3.28
87,unirse,獲得,verbs,0.4
88,dama,先生,nouns,0.86
89,moderno,古老,adjectives,0.19
90,gente,人口,nouns,3.35
91,esfumarse,消逝,verbs,4.97
92,inteligentemente,成熟,adverbs,0.79
93,puesta de sol,表,nouns,0.05
94,piso,門,nouns,0.63
95,lavar,沖洗,verbs,3.85
96,placa,玻璃,nouns,0.44
97,enviar,走,verbs,0.35
98,pavo,鳥,nouns,2.39
99,tocino,早餐,nouns,0.38
100,vacilante,憤怒,adjectives,0.63
101,profundidad,大小,nouns,0.69
102,gusano,惡意軟件,nouns,0.74
103,idioma,溝通,nouns,1.63
104,sencillo,容易,adjectives,5.07
105,cita,生日,nouns,1.65
106,dinero,珍珠,nouns,0.72
107,pelota,球拍,nouns,1.02
108,pelota,服裝,nouns,0.15
109,flecha,目標,nouns,1.1
110,oficialmente,重要的,adverbs,0.61
111,ordinario,難以置信,adjectives,0.1
112,cuaderno,槍,nouns,0.05
113,saber,給,verbs,0.29
114,comprender,讀,verbs,1.07
115,sobre,裝飾,nouns,0.05
116,puerta,窗,nouns,0.81
117,chaqueta,針織套衫,nouns,2.71
118,analizar,比較,verbs,3.03
119,plancha,維他命,nouns,0.39
120,tedioso,安全,adjectives,0.1
121,oficina,工作者,nouns,0.28
122,ayudar,協助,verbs,4.19
123,tronco,公式,nouns,0.1
124,hormiga,蒼蠅,nouns,0.66
125,organizar,成為,verbs,0.19
126,adquirir,取得,verbs,4.67
127,carne,血液,nouns,0.48
128,búsqueda,目標,nouns,0.73
129,mortal,高高興興地,adverbs,0.1
130,espada,草,nouns,0.05
131,gripe,發熱,nouns,1.6
132,obtener,放,verbs,0.1
133,pecador,聖,nouns,0.04
134,maduro,巧妙,adverbs,0.79
135,cesta,球,nouns,0.24
136,mantener,借,verbs,0.1
137,objetivo,箭頭,nouns,1.1
138,arma,頭盔,nouns,1.52
139,cocinar,混合,verbs,0.68
140,melodía,節奏,nouns,3.24
141,himno,稻草,nouns,0.23
142,tema,書,nouns,0.68
143,organizar,需要,verbs,0.24
144,aprender,忘記,verbs,0.1
145,oveja,牛,nouns,2.31
146,metro,碼,nouns,2.19
