ID,CYM,SPA,PoS,score
1,yn oddefol,silenciosamente,adverbs,0.95
2,malware,gusano,nouns,0.65
3,oedolyn,guardián,nouns,1.35
4,protein,asa,nouns,0.15
5,cwympo,herir,verbs,1.35
6,caets,bar,nouns,0.25
7,lladrad,crimen,nouns,2.55
8,dyffryn,cañón,nouns,2.55
9,sanctaidd,precioso,adjectives,1.8
10,syth,curvo,adjectives,0.2
11,mintys poethion,goma,nouns,0.25
12,rhosyn,mariposa,nouns,0.35
13,trist,terrible,adjectives,1.25
14,blwch,ascensor,nouns,0.15
15,eang,estrecho,adjectives,0.15
16,llenyddiaeth,palabra,nouns,1.85
17,yn gynnil,ruidosamente,adverbs,0.05
18,afiechyd,peligro,nouns,0.5
19,biotop,biología,nouns,0.65
20,gwddf,hueso,nouns,0.35
21,modfedd,patio,nouns,0.55
22,hysbysu,retratar,verbs,0.45
23,yn anhygoel,muy,adverbs,0.65
24,canwr,coro,nouns,1.35
25,cyntedd,corredor,nouns,4.7
26,gwaed,virus,nouns,0.9
27,trên,tranvía,nouns,2.95
28,bara,carne,nouns,0.35
29,maint,profundidad,nouns,1.15
30,braich,rama,nouns,1.25
31,chwydu,cerrar,verbs,0.0
32,crwydro,salir,verbs,1.1
33,gwych,malo,adjectives,0.05
34,ymosodiad,bombardeo aéreo,nouns,3.05
35,eira,avalancha,nouns,1.4
36,eryr,halcón,nouns,2.4
37,aderyn,halcón,nouns,2.2
38,mwslim,obispo,nouns,0.35
39,bathodyn,vaso,nouns,0.35
40,nerfus,cierto,adjectives,0.05
41,yn wallgof,tristemente,adverbs,0.45
42,llawr,cubierta,nouns,1.4
43,etholi,rechazar,verbs,0.2
44,ardal,esquina,nouns,0.75
45,gwyddoniaeth,psicología,nouns,1.35
46,cymryd,entregar,verbs,0.6
47,danfon,lanzar,verbs,1.65
48,cymysgu,sacudir,verbs,2.4
49,gwallgof,feliz,adjectives,0.1
50,gwn,piel,nouns,0.1
51,yn wir,perfectamente,adverbs,0.85
52,staff,vocalista,nouns,0.25
53,amrwd,feo,adjectives,0.3
54,meddyg,ortodoncista,nouns,1.6
55,modur,bote,nouns,0.6
56,bachgen,soldado,nouns,0.4
57,cawod,monasterio,nouns,0.0
58,cefnder,tío,nouns,0.6
59,haint,inflexión,nouns,0.1
60,ysgwydd,brazo,nouns,1.45
61,meddwl,racionalizar,verbs,3.35
62,weithiau,uniformemente,adverbs,0.1
63,biolegydd,microscopio,nouns,1.05
64,cynyddu,crecer,verbs,3.95
65,ewythr,prima,nouns,0.6
66,ffilm,teatro,nouns,0.95
67,glaw mân,lluvia,nouns,4.1
68,twll,esposa,nouns,0.0
69,papur,madera,nouns,0.7
70,llonydd,neutral,adjectives,1.05
71,glofa,rock,nouns,0.15
72,dyddiad,cumpleaños,nouns,1.3
73,mainc,silla,nouns,3.25
74,ffantasi,realidad,nouns,0.45
75,asgwrn,músculo,nouns,0.45
76,bys,palma,nouns,0.35
77,trosedd,fraude,nouns,2.8
78,anghwrtais,crítico,adjectives,0.95
79,creu,ganar,verbs,0.25
80,enillydd,presencia,nouns,0.2
81,drwg,inmoral,adjectives,2.9
82,amherchnogi,renunciar,verbs,1.35
83,gwybod,creer,verbs,1.4
84,uchel,grosero,adjectives,0.55
85,ymennydd,mente,nouns,3.85
86,maes awyr,pieza,nouns,0.0
87,mewnwelediad,inteligencia,nouns,1.85
88,eira,tormenta,nouns,1.1
89,gwrthod,admitir,verbs,0.1
90,treisgar,enojado,adjectives,1.45
91,calibr,paraguas,nouns,0.1
92,prawf,veredicto,nouns,2.65
93,gweithiwr,empleador,nouns,0.8
94,cenedlaethol,grande,adjectives,0.45
95,dyn,sospechar,nouns,0.55
96,llythyr,párrafo,nouns,0.85
97,darganfod,buscar,verbs,1.2
98,torri,agrietar,verbs,2.5
99,gwahanu,adjuntar,verbs,0.1
100,traethawd,tarea,nouns,2.55
101,pren,piedra,nouns,0.5
102,potel,envase,nouns,2.2
103,cân,bailarín,nouns,0.7
104,miniog,aburrido,adjectives,0.1
105,gwawr,pistola,nouns,0.0
106,gwas,esclavo,nouns,2.5
107,tymestl,manta,nouns,0.05
108,coflaid,abrazar,verbs,4.2
109,opera,cine,nouns,1.05
110,bowlio,jugador de bolos,nouns,1.75
111,trafodaeth,diplomacia,nouns,2.45
112,siwmper,chaqueta,nouns,2.2
113,coron,llave,nouns,0.1
114,dadlau,discutir,verbs,3.35
115,merch,padre,nouns,0.65
116,lleuad,planeta,nouns,1.75
117,tun,metal,nouns,2.25
118,dymuno,querer,verbs,4.6
119,yn anhygoel,herméticamente,adverbs,0.0
120,duw,espíritu,nouns,1.4
121,gwraig,agujero,nouns,0.0
122,braf,generoso,adjectives,0.5
123,cyhoeddi,informar,verbs,4.5
124,chwaraewr,entrenador,nouns,0.45
125,metr,pulgada,nouns,1.15
126,ufuddhau,castigar,verbs,0.7
127,dafad,cordero,nouns,3.55
128,swcros,carbohidrato,nouns,1.5
129,yn obeithiol,posiblemente,adverbs,1.2
130,balŵn,gente,nouns,0.25
131,cymhwysedd,capacidad,nouns,3.55
132,dodrefn,cama,nouns,1.65
133,tynnu,crear,verbs,0.75
134,cell,cárcel,nouns,1.25
135,ffôn,teléfono móvil,nouns,4.75
136,ymosodedd,hostilidad,nouns,2.45
137,yn gyfan gwbl,ligeramente,adverbs,0.1
138,cymryd,disminuir,verbs,0.05
139,darganfod,explorar,verbs,2.6
140,cansen siwgr,segadora,nouns,0.2
141,brenin,nepotismo,nouns,1.0
142,myfyriwr,profesor,nouns,0.65
143,ffordd,autopista,nouns,4.15
144,crwydro,vagar,verbs,4.55
145,crebachu,reducir,verbs,3.7
146,yn amlwg,en la zona,adverbs,0.0
147,goruchafu,superar,verbs,2.85
