ID,CMN,HEB,PoS,score
1,甲板,עכבר,nouns,0.05
2,妻子,סנט,nouns,0.18
3,蜜蜂,נמלה,nouns,1.03
4,公牛,עגל,nouns,2.89
5,抓住,ללכוד,verbs,4.61
6,喧闹声,רעשן,nouns,1.6
7,迅速地,בדחיפות,adverbs,2.69
8,混合,לבשל,verbs,0.83
9,牧师,אל,nouns,0.79
10,想,להרהר,verbs,4.27
11,自行车,מכונית,nouns,1.13
12,大声地,בעדינות,adverbs,0.2
13,避难所,צריף,nouns,1.21
14,读者,סופר,nouns,0.78
15,呛,לנשום,verbs,0.82
16,秘书,אישה,nouns,1.06
17,搜索,לשוטט,verbs,0.73
18,旅程,טיול,nouns,4.14
19,扼杀,לשרוף,verbs,0.48
20,饼干,נסיכה,nouns,0.0
21,城市,עיירה,nouns,3.61
22,时装,צורה,nouns,0.39
23,驾驶,לעצור,verbs,0.49
24,蛇,לטאה,nouns,1.41
25,星星,כוכב לכת,nouns,3.63
26,车辆,אוטובוס,nouns,2.45
27,保留,לשמור,verbs,3.04
28,稍微地,בערך,adverbs,1.45
29,雨,ברד,nouns,2.13
30,糖果,קינמון,nouns,0.69
31,庆祝,להפתיע,verbs,0.88
32,人群,מצעד,nouns,0.94
33,快乐,מהנה,adjectives,4.21
34,乘,לחלק,verbs,1.08
35,匆匆地写,לכתוב,verbs,3.13
36,樱桃,תות,nouns,1.67
37,搏斗,להרוג,verbs,1.14
38,高高兴兴地,נורא,adverbs,0.33
39,傻,מטומטם,adjectives,4.88
40,自由,נווה מדבר,nouns,0.29
41,乞求,להפציר,verbs,4.3
42,女儿,תינוקת,nouns,2.96
43,追逐,לתפוס,verbs,1.99
44,使满意,לספק,verbs,3.78
45,肝,ריאה,nouns,1.02
46,容易地,בערך,adverbs,0.15
47,建造,להרוס,verbs,0.68
48,完成,לנצח,verbs,1.94
49,混乱,היסטריה,nouns,1.92
50,订婚,פגישה,nouns,1.49
51,合唱团,כנסייה,nouns,0.84
52,离开,לנדוד,verbs,0.74
53,钱,משכורת,nouns,3.93
54,飓风,סערה,nouns,3.12
55,提醒,לשכוח,verbs,0.68
56,新闻,רכילות,nouns,2.19
57,通灵研究,נוירופסיכולוגיה,nouns,0.97
58,暴力,פאסיבי,adjectives,0.3
59,协议,תנאי,nouns,1.83
60,香芹,מאפין,nouns,0.4
61,适中,מתון,adjectives,3.3
62,新闻,מדיה,nouns,2.54
63,新,טרי,adjectives,3.75
64,抓住,לשחרר,verbs,0.64
65,拇指,ציפורן,nouns,1.03
66,嘴巴,שיניים,nouns,1.12
67,子程序,מהדר,nouns,1.27
68,歌手,שחקן,nouns,2.13
69,雪,תחזית,nouns,1.36
70,海滩,אי,nouns,1.29
71,钢琴,הרמוניה,nouns,0.78
72,困难,קל,adjectives,0.59
73,解剖学,ביולוגיה,nouns,2.82
74,神职人员,נזיר,nouns,3.08
75,百万富翁,דולר,nouns,0.6
76,看来,פשוט,adverbs,0.9
77,选举,למנות,verbs,1.17
78,光,מקלדת,nouns,0.04
79,四轮货运马车,כרכרה,nouns,3.62
80,流星,כבידה,nouns,0.5
81,尖顶,קפלה,nouns,1.36
82,契约,הסכם,nouns,4.92
83,猎狗,שועל,nouns,1.31
84,作曲家,סופר,nouns,2.27
85,同意,לחלוק,verbs,0.68
86,走道,פרוזדור,nouns,4.7
87,狭窄,לבן,adjectives,0.18
88,付款,הערה,nouns,0.55
89,货币,חליפין,nouns,1.2
90,主题,סיפור,nouns,1.02
91,摇铃,רעש,nouns,1.6
92,床,עריסה,nouns,3.34
93,水煮,מבושל,adjectives,2.88
94,法庭,צדק,nouns,1.56
95,评估,ללמוד,verbs,0.57
96,课程,בטן,nouns,0.0
97,米,יארד,nouns,2.69
98,活塞,מנוע,nouns,1.44
99,冷静地,בנחישות,adverbs,0.33
100,光标,שקופית,nouns,0.29
101,水,מלח,nouns,0.73
102,牛油,תפוד,nouns,0.64
103,木,אבן,nouns,0.45
104,薄雾,גשם,nouns,1.31
105,毯,סערה,nouns,0.4
106,刺激,משעמם,adjectives,0.54
107,床,ספה,nouns,1.56
108,公共的,פרטי,adjectives,0.59
109,速度,משרה,nouns,0.3
110,成长,להגביר,verbs,1.16
111,加入,להתחתן,verbs,0.39
112,棒球,אחווה,nouns,0.25
113,皮肤,אופניים,nouns,0.1
114,肉,סטייק,nouns,3.79
115,车,כביש,nouns,0.74
116,笨,פיקח,adjectives,0.54
117,未拿定主意,ניטרלי,adjectives,0.92
118,污染,נשיא,nouns,0.05
119,购买,לגנוב,verbs,0.63
120,惯例,חוק,nouns,2.72
121,勺子,מיץ,nouns,0.25
122,意外,ספר,nouns,0.0
123,费用,משכורת,nouns,0.96
124,大麻,עשב,nouns,2.82
125,成熟,בחוכמה,adverbs,0.82
126,汽车,כרכרה,nouns,1.96
127,影片,סרט,nouns,3.74
128,数字,ציטופלזמה,nouns,0.25
129,兔子,חתול,nouns,0.93
130,灵活,נייד,adjectives,0.68
131,脏,צר,adjectives,0.0
132,选举权,יציאה,nouns,0.18
133,船,סיפון,nouns,1.21
134,被动地,בשקט,adverbs,0.87
135,来源,קופסה,nouns,0.0
136,今天晚上,מחר,adverbs,0.69
137,花园,צינור,nouns,0.6
138,重复,להתאמן,verbs,1.21
139,士兵,ילד,nouns,1.58
140,信用,לווה,nouns,1.16
141,普通,שגרתי,adjectives,5.25
142,世俗主义,דת,nouns,0.6
143,细胞质,ספרה,nouns,0.25
144,学习,לספוג,verbs,2.35
145,员工,זמר,nouns,0.23
146,确定,לפנות,verbs,0.1
147,深深地,בעיקר,adverbs,0.68
148,争论,ביקורת,nouns,1.35
149,担心,לבזבז,verbs,0.1
150,神圣,יקר ערך,adjectives,1.77
151,坟墓,קבורה מחדש,nouns,1.07
152,蜜糖,סוכר,nouns,2.22
153,沙丘,מדבר,nouns,2.46
154,税,הכנסה,nouns,0.92
