ID,ENG,POL,PoS,score
1,statue,rzeźba,nouns,5.01
2,meat,kanapka,nouns,0.12
3,take,zostawić,verbs,0.04
4,hesitant,gniewny,adjectives,0.15
5,rock,kopalnia,nouns,0.57
6,author,czytelnik,nouns,0.31
7,join,odchodzić,verbs,0.04
8,smooth,ostry,adjectives,0.15
9,hole,żona,nouns,0.0
10,church,katedra,nouns,3.84
11,lazy,cenny,adjectives,0.0
12,roughly,niezawodnie,adverbs,0.1
13,verdict,rozprawa,nouns,1.56
14,learn,zapominać,verbs,0.04
15,help,pytać,verbs,0.15
16,proud,silny,adjectives,0.71
17,joy,duma,nouns,1.56
18,cooperate,złączyć,verbs,1.39
19,competence,zdolność,nouns,4.02
20,sincerely,uczciwie,adverbs,4.95
21,ballad,piosenka ,nouns,3.5
22,anxious,niecierpliwy,adjectives,1.79
23,bury,przykryć,verbs,2.35
24,arrogant,dumny,adjectives,2.95
25,leave,eksmitować,verbs,0.67
26,fail,powieść się,verbs,0.04
27,large,giętki,adjectives,0.0
28,easy,skomplikowany,adjectives,0.04
29,stir,wymieszać,verbs,3.61
30,sandwich,obiad,nouns,1.08
31,despise,nienawidzić,verbs,5.0
32,apartment,meble,nouns,0.45
33,bishop,muzułmanin,nouns,0.21
34,aisle,przedpokój,nouns,1.84
35,believe,czuć,verbs,1.64
36,take,otrzymywać,verbs,1.56
37,find,zniknąć,verbs,0.0
38,iron,witamina,nouns,1.17
39,crowd,motłoch,nouns,4.12
40,inform,powiadamiać,verbs,5.29
41,absorb,wycofać,verbs,0.0
42,dominate,przezwyciężyć,verbs,2.19
43,brother,dusza,nouns,0.15
44,unformed,jednolity,adjectives,0.05
45,negotiation,dyplomacja,nouns,2.56
46,wood,kamień,nouns,0.14
47,goat,krowa,nouns,0.98
48,forget,uczyć się,verbs,0.04
49,beach,wyspa,nouns,1.35
50,forgive,akceptować,verbs,1.7
51,iris,acetylocholina,nouns,0.3
52,catch,uwalniać,verbs,0.04
53,sheep,bydło,nouns,1.42
54,disc,komputer,nouns,0.99
55,walk,stać  ,verbs,0.19
56,forecast,zachmurzenie,nouns,0.26
57,endurance,kwiat,nouns,0.0
58,relaxed,spokojny,adjectives,4.47
59,hand,stopa,nouns,0.85
60,cherish,zachować,verbs,0.71
61,sand,stopa,nouns,0.0
62,trial,werdykt,nouns,1.56
63,beach,brzeg morski,nouns,4.12
64,cow,koza,nouns,0.98
65,division,mnożenie,nouns,0.53
66,discreetly,grzecznie,adverbs,1.52
67,whisper,mówić,verbs,1.87
68,make,niszczyć,verbs,0.04
69,triumph,zwycięstwo,nouns,5.62
70,angry,gwałtowny,adjectives,2.13
71,overcast,prognoza,nouns,0.26
72,sheet,płaszczyzna,nouns,0.25
73,insane,szalony,adjectives,5.32
74,softly,twardo,adverbs,0.0
75,knee,kość,nouns,0.89
76,self,pewność siebie,nouns,0.91
77,allow,dać,verbs,1.0
78,key,dom ,nouns,0.22
79,ashamed,skromny,adjectives,0.77
80,basket,piłka,nouns,0.3
81,drunk,trzeźwy,adjectives,0.04
82,precisely,niedokładnie,adverbs,0.04
83,bottom,bok,nouns,0.39
84,punish,uderzyć,verbs,0.91
85,reduce,kurczyć się,verbs,3.78
86,divide,łączyć,verbs,0.04
87,mixed,stary,adjectives,0.05
88,threat,niebezpieczeństwo,nouns,5.29
89,blood,ciało,nouns,0.41
90,accept,zaprzeczać,verbs,0.04
91,tremor,trzęsienie ziemi,nouns,3.51
92,hand,nadgarstek,nouns,1.56
93,peacefully,dumnie,adverbs,0.15
94,construct,robić,verbs,3.75
