ID,ENG,RUS,PoS,score
1,party,электорат,nouns,1.04
2,wisdom,ум,nouns,3.73
3,river,море,nouns,1.09
4,nail,кисть,nouns,0.84
5,conquest,битва,nouns,2.06
6,butterfly,роза,nouns,0.3
7,esteem,честь,nouns,3.42
8,juice,молоко,nouns,0.41
9,sober,рациональный,adjectives,2.46
10,cold,обычный,adjectives,0.0
11,illness,инфекция,nouns,3.14
12,creator,изготовитель,nouns,4.82
13,mother,отец,nouns,1.05
14,basically,вполне,adverbs,0.34
15,honey,молочные продукты,nouns,0.26
16,thread,пряжа,nouns,3.11
17,reef,пляж,nouns,0.79
18,hematology,патология,nouns,1.11
19,cross,монах,nouns,0.86
20,mayor,президент,nouns,1.19
21,blame,обвинять,verbs,4.22
22,chicken,ужин,nouns,0.65
23,bank,сиденье,nouns,0.0
24,alcohol,вино,nouns,1.89
25,elastic,гибкий,adjectives,4.03
26,wood,бумага,nouns,0.86
27,cable,часовня,nouns,0.0
28,marginally,грубо,adverbs,0.46
29,conquest,псалом,nouns,0.0
30,goat,корова,nouns,0.68
31,meet,собираться,verbs,3.24
32,professor,доктор,nouns,1.77
33,unsure,испуганный,adjectives,1.07
34,number,цифра,nouns,4.88
35,poem,ритм,nouns,0.81
36,parapsychology,нейропсихология,nouns,1.71
37,gun,шалость,nouns,0.05
38,smother,обнимать,verbs,0.88
39,phonology,экран,nouns,0.0
40,maple,дерево,nouns,2.5
41,marijuana,трава,nouns,1.99
42,compiler,подпрограмма,nouns,1.31
43,exam,учебный план,nouns,0.76
44,terrific,плохой,adjectives,0.19
45,madly,громко,adverbs,0.64
46,profession,колледж,nouns,0.54
47,button,одежда,nouns,0.96
48,keep,защищать,verbs,1.45
49,telescope,стул,nouns,0.0
50,orderly,беспорядочный,adjectives,0.19
51,guidebook,справочник,nouns,4.19
52,door,проем,nouns,2.46
53,candy,яблоко,nouns,0.44
54,bias,мнение,nouns,2.29
55,argue,убеждать,verbs,1.61
56,car,велосипед,nouns,0.69
57,iron,витамин,nouns,1.02
58,singer,актер,nouns,0.81
59,actively,счастливо,adverbs,0.21
60,bench,стул,nouns,2.16
61,dawn,день,nouns,1.66
62,pupil,президент,nouns,0.15
63,go,позволять,verbs,0.14
64,untrustworthy,коварный,adjectives,2.87
65,information,газета,nouns,1.56
66,ox,конь,nouns,0.69
67,conversation,общение,nouns,4.26
68,remain,достигать,verbs,0.0
69,business,корпорация,nouns,3.94
70,demon,чудовище,nouns,4.21
71,container,платформа,nouns,0.21
72,give,занимать,verbs,0.74
73,wealth,слава,nouns,1.11
74,train,трамвай,nouns,2.33
75,restless,молодой,adjectives,0.49
76,room,кровать,nouns,0.54
77,juice,ложка,nouns,0.15
78,self,уверенность,nouns,1.66
79,highway,автомобиль,nouns,0.71
80,era,десятилетие,nouns,1.48
81,curtain,карниз,nouns,0.56
82,easy,большой,adjectives,0.0
83,harm,боль,nouns,1.91
84,civilization,образ жизни,nouns,0.71
85,analyze,оценивать,verbs,4.11
86,funny,серьезный,adjectives,0.05
87,umbrella,калибр,nouns,0.0
88,wrathful,нерешительный,adjectives,0.05
89,apocalypse,пожар,nouns,0.74
90,discreetly,вежливо,adverbs,1.33
91,skill,ум,nouns,1.18
92,cash,деньги,nouns,4.46
93,factorization,разложение,nouns,1.04
94,ask,молиться,verbs,1.49
95,immoral,плохой,adjectives,2.91
96,bedroom,кровать,nouns,1.31
97,shame,печаль,nouns,0.89
98,magnitude,размер,nouns,4.66
99,unfairly,довольно,adverbs,0.14
100,subtly,громко,adverbs,0.04
101,arm,плечо,nouns,1.08
102,money,бриллиант,nouns,0.56
103,carbohydrate,сахароза,nouns,1.88
104,apple,солнце,nouns,0.0
105,flexible,покладистый,adjectives,1.93
106,economy,экосистема,nouns,0.54
107,persuade,спорить,verbs,2.72
108,wealth,бедность,nouns,0.22
109,graduate,заканчивать,verbs,2.17
110,cricket,сторонник,nouns,0.0
