ID,CMN,POL,PoS,score
1,安全,nużący,adjectives,0.0
2,坏,niemoralny,adjectives,2.96
3,马,źrebak,nouns,3.42
4,伤心,straszny,adjectives,0.38
5,数,cyfra,nouns,4.57
6,雇主,pracownik,nouns,0.5
7,群落生境,biologia,nouns,0.79
8,校园,uniwersytet,nouns,3.06
9,文章,czasopismo,nouns,1.69
10,片,lotnisko,nouns,0.0
11,瓶子,pojemnik,nouns,2.71
12,电梯,pudełko,nouns,0.1
13,飞机场,kawałek,nouns,0.0
14,深度地,znacząco,adverbs,2.33
15,枪,świt,nouns,0.0
16,出租车,taksówka,nouns,5.91
17,盒子,winda,nouns,0.1
18,球,kosz,nouns,0.34
19,脆弱,bezradny,adjectives,1.46
20,成年人,rodzic,nouns,2.74
21,改变,zmienić,verbs,3.56
22,小巷,ulica,nouns,3.24
23,砖,ściana,nouns,0.67
24,订婚,poślubić,verbs,1.63
25,杀,niszczyć,verbs,2.54
26,预测,zakładać,verbs,4.02
27,逻辑,inteligencja,nouns,2.75
28,自信,pewny,adjectives,3.75
29,修道院,prysznic,nouns,0.0
30,溅,lepkość,nouns,0.04
31,货币,współbieżność,nouns,0.04
32,枪,trik,nouns,0.1
33,病人,sesja,nouns,0.18
34,人,dolar,nouns,0.0
35,肩,ciało,nouns,0.86
36,认真地,szczerze,adverbs,2.41
37,旋律,rytm,nouns,2.92
38,知道,rozumieć,verbs,3.41
39,父亲,brat,nouns,0.34
40,帽子,płaszcz,nouns,0.83
41,需求,ganić,verbs,0.79
42,表哥,wujek,nouns,0.78
43,相机,robotnik,nouns,0.2
44,笨,rzadki,adjectives,0.0
45,新,niedawny,adjectives,3.17
46,冰,śnieg,nouns,2.27
47,责怪,oskarżać,verbs,3.93
48,先生,dama,nouns,0.73
49,笨,uparty,adjectives,1.17
50,分离,rozdzielić,verbs,3.39
51,地区,strefa,nouns,5.02
52,门,okno,nouns,0.72
53,焦躁不安,młody,adjectives,0.4
54,智慧,inteligencja,nouns,4.21
55,吸引,uderzyć,verbs,0.0
56,苹果,cukierek,nouns,0.24
57,想要,pragnąć,verbs,4.74
58,走,zezwalać,verbs,0.1
59,枪,nóż,nouns,1.4
60,沐浴,polano,nouns,0.0
61,货车,samochód,nouns,3.26
62,溪流,rzeka,nouns,3.02
63,猴子,kampania,nouns,0.0
64,中性,spokojny,adjectives,0.84
65,公开地,ogromnie,adverbs,0.65
66,覆盖着的,odkryty,adjectives,0.14
67,羊肉,owca,nouns,4.18
68,家,stan,nouns,0.0
69,泉,gejzer,nouns,3.36
70,长大,niedojrzały,adjectives,0.18
71,走,sprzedawać,verbs,0.0
72,开襟毛衣,koszula,nouns,1.38
73,远足,wspinać się,verbs,0.73
74,医生,usposobienie,nouns,0.0
75,必须,niezbędny,adjectives,5.47
76,故事,piosenka,nouns,0.63
77,忙碌,leniwy,adjectives,0.04
78,好斗,walka,nouns,2.9
79,停,gwizdać,verbs,0.05
80,活塞,silnik,nouns,1.59
81,地图,kwadrat,nouns,0.14
82,刺激,zgadywać,verbs,0.2
83,收藏,oszczędzać,verbs,4.63
84,仆人,niewolnik,nouns,3.38
85,给予,wkład,nouns,2.02
86,小牛,byk,nouns,2.59
87,纸,plakat,nouns,1.71
88,牛,koń,nouns,1.03
89,木,koc,nouns,0.0
90,画廊,prawnik,nouns,0.0
91,主意,projekt,nouns,2.85
92,纽扣,ubrania,nouns,0.53
93,地区,narożnik,nouns,0.47
94,幻想,rzeczywistość,nouns,0.55
95,优雅地,pięknie,adverbs,3.09
96,铅笔,opowieść,nouns,0.18
97,硬纸板,papier,nouns,3.25
98,软管,samochód,nouns,0.29
99,征服,hymn,nouns,0.0
100,后缀,afiks,nouns,2.08
101,击中,karać,verbs,0.6
102,开心,obłąkany,adjectives,0.46
103,使惊奇,celebrować,verbs,0.43
104,指甲,ręka,nouns,0.28
105,喷嘴,płyn,nouns,0.0
106,创建,nurkować,verbs,0.0
107,活动,giętki,adjectives,0.92
108,英寸,metr,nouns,1.78
109,代码,symbol,nouns,2.46
110,编译器,podprogram,nouns,1.36
111,钱,pensja,nouns,3.78
112,独立地,odpowiedzialnie,adverbs,0.95
113,工具,praca,nouns,0.53
114,狗,kot,nouns,0.28
115,眼泪,oko,nouns,0.53
116,贫困,bogactwo,nouns,0.1
117,体操,szermierka,nouns,0.85
118,美人,wiek,nouns,0.18
119,衣服,guzik,nouns,0.53
120,提高,podnieść,verbs,3.02
121,摇床,żłób,nouns,2.5
122,面包,mąka,nouns,1.17
123,教,edukować,verbs,4.74
124,呼吸,dusić,verbs,0.32
125,苦难,rozpacz,nouns,1.83
126,今天,dzisiaj wieczorem,adverbs,2.33
127,疯狂,zadowolony,adjectives,0.28
128,鸡,kolacja,nouns,0.34
129,主题,hasztag,nouns,2.5
130,退出,przejść na emeryturę,verbs,1.91
131,信息,entropia,nouns,0.38
132,出租车,samochód,nouns,3.48
133,空气,cząsteczka,nouns,0.68
134,尾巴,tył,nouns,3.06
135,完全必要,konieczny,adjectives,5.47
136,男孩,dziecko,nouns,3.43
137,游戏,akcja,nouns,0.7
138,步行,stać  ,verbs,0.18
139,女仆,pomocnik,nouns,2.02
140,发展,kwestowanie,nouns,0.1
141,女孩,facet,nouns,0.14
142,机灵,tępy,adjectives,0.09
143,酒,jałowcówka,nouns,3.81
144,有创造力,nowatorski,adjectives,4.5
145,大,narodowy,adjectives,0.0
