ID,HEB,POL,PoS,score
1,לפספס,uderzyć,verbs,0.55
2,מצב,gniew,nouns,1.05
3,להפוך,wydawać się,verbs,0.3
4,אם,tata,nouns,1.7
5,רע,kumpel,nouns,5.2
6,מעיל,sweter,nouns,1.45
7,שחר,dzień,nouns,2.05
8,נשיא,zanieczyszczenie,nouns,0.15
9,לוחמנות,walka,nouns,2.95
10,לא חוקי,prawowity,adjectives,0.5
11,חבורה,tłum,nouns,3.15
12,בנחישות,spokojnie,adverbs,0.5
13,אישה,mąż,nouns,1.2
14,בוודאי,dyskretnie,adverbs,0.1
15,רופא,ortodonta,nouns,3.0
16,כיתה,koledż,nouns,1.0
17,בעדינות,obecnie,adverbs,0.0
18,פרופסור,student,nouns,0.85
19,מפוחד,niepewny,adjectives,1.65
20,להיפגש,gromadzić się,verbs,4.9
21,שקרן,prawdomówny,adjectives,0.5
22,גיהנום,zaświaty,nouns,2.15
23,זיהום,atmosfera,nouns,0.5
24,מכונית,most,nouns,0.4
25,להכחיש,przyznawać,verbs,0.5
26,חלב,sok,nouns,1.05
27,חדר,budynek,nouns,1.15
28,בושה,smutek,nouns,0.8
29,בחוכמה,dojrzale,adverbs,1.85
30,ישן,mieszany,adjectives,0.05
31,ביקורת,argument,nouns,1.3
32,טלפון,budka,nouns,0.95
33,נרגש,wystraszony,adjectives,0.85
34,טהור,skromny,adjectives,1.0
35,עבד,służący,nouns,3.95
36,גלובוס,świat,nouns,4.15
37,דירה,dom,nouns,4.6
38,לקחת,dostarczać,verbs,0.65
39,מאוד,jasno,adverbs,0.4
40,גודל,rozmiar,nouns,4.6
41,אחרי,przed,adverbs,0.7
42,מושחת,nielegalny,adjectives,1.85
43,טיסה,lotnictwo,nouns,2.45
44,בועה,mydliny,nouns,1.85
45,לאסוף,gromadzić,verbs,5.3
46,להרגיז,zgadywać,verbs,0.2
47,תקרה,katedra,nouns,0.65
48,מטומטם,bystry,adjectives,0.5
49,בעצם,krytycznie,adverbs,0.5
50,דיון,argument,nouns,1.8
51,לצלוע,chodzić,verbs,1.15
52,לעשות,konstruować,verbs,3.05
53,ברנדי,wino,nouns,1.85
54,מדהים,brudny,adjectives,0.15
55,בענווה,dumnie,adverbs,0.6
56,להגיע,gromadzić się,verbs,1.8
57,לא צפוי,nieoczekiwany,adjectives,5.25
58,באמת,perfekcyjnie,adverbs,1.25
59,בן,dziecko,nouns,3.45
60,פאון,aktor,nouns,0.6
61,מנהיג,menadżer,nouns,3.65
62,להילחם,zabić,verbs,1.0
63,דיפלומטיה,negocjacja,nouns,2.15
64,פשוט,skomplikowany,adjectives,0.4
65,שארית,różnica,nouns,1.65
66,להקשיב,mówić,verbs,0.9
67,טלפון,ofiara,nouns,0.15
68,דעה,przekonanie,nouns,3.75
69,לבנים,ciało,nouns,0.35
70,משרד,robotnik,nouns,0.75
71,עובדה,wgląd,nouns,1.9
72,להתכוון,spróbować,verbs,1.4
73,סמטה,ulica,nouns,3.4
74,בטבעיות,chicho,adverbs,0.2
75,לקלקל,śmierdzieć,verbs,0.65
76,ספינת מלחמה,drednot,nouns,4.75
77,מטריצה,cząsteczka,nouns,0.2
78,עתיק,współczesny,adjectives,0.5
79,גבר,triumfator,nouns,0.55
80,להצדיק,myśleć,verbs,0.8
81,לעולם לא,później,adverbs,0.65
82,משימה,szosa,nouns,0.05
83,חירום,wypadek,nouns,2.4
84,להבהיר,tłumaczyć,verbs,4.95
85,פרצטמול,bronchit,nouns,0.9
86,מיותר,konieczny,adjectives,0.55
87,יופי,sonet,nouns,0.3
88,ברזל,witamina,nouns,1.4
89,לרכוש,dostać,verbs,1.7
90,נייר,plakat,nouns,1.95
91,לבזבז,martwić,verbs,0.1
92,מד,samochód,nouns,0.4
93,כריך,obiad,nouns,1.0
94,מוטציה,socjobiologia,nouns,0.55
95,דוקטור,dentysta,nouns,4.65
96,זול,brudny,adjectives,0.45
97,משחק,akcja,nouns,1.95
98,משימה,praca,nouns,3.4
99,לדאוג,marnować,verbs,0.1
100,נורא,zły,adjectives,4.05
101,גלובליזם,wiza,nouns,0.35
102,לדחוף,ciągnąć,verbs,0.75
103,לעומק,znacząco,adverbs,2.35
104,מצלמה,prezydent,nouns,0.05
105,ביוגרפיה,fikcja,nouns,0.55
106,עוגן,łódź,nouns,1.2
107,חיסכון,ciułacz,nouns,1.15
108,דשא,korzeń,nouns,0.85
109,חצוף,agresywny,adjectives,1.75
110,שותף,facet,nouns,2.1
111,לשחות,spotykać,verbs,0.05
112,לעגני,wzgardliwy,adjectives,3.7
113,הלילה,dzisiaj,adverbs,1.9
114,ערפל,deszcz,nouns,1.4
115,מיטה,szpital,nouns,0.65
116,מוות,katastrofa,nouns,2.05
117,היעדרות,obecność,nouns,0.5
118,לדחות,unikać,verbs,1.4
119,עליונות,wszechmoc,nouns,1.9
120,מיליונר,dolar,nouns,0.85
121,לרצות,zgadzać się,verbs,0.9
122,סכנה,dolegliwość,nouns,0.75
123,להעניש,uczyć,verbs,0.5
124,מצלמה,kontynuacja,nouns,0.0
125,לפעמים,jednorodnie,adverbs,0.25
126,באופן מקומי,oczywiście,adverbs,0.1
127,לבנות,robić,verbs,3.05
128,פיתוח,kwestowanie,nouns,0.45
129,צנוע,giętki,adjectives,0.1
130,כאוס,anarchia,nouns,4.6
131,עיתון,słowo,nouns,0.95
132,למצוא,szukać,verbs,1.15
133,גובה,konwersja,nouns,0.65
134,להגן,zabić,verbs,0.55
135,טלסקופ,burza mózgów,nouns,0.0
136,מזג,doktor,nouns,0.0
137,לערבב,pić,verbs,0.5
138,כאב,krzywda,nouns,2.45
139,סוסון,koń,nouns,2.8
140,פיכח,pijany,adjectives,0.5
141,להרגיש,wierzyć,verbs,1.35
142,דם,wirus,nouns,0.8
143,רגיל,przeciętny,adjectives,3.15
144,יום,świt,nouns,2.05
145,מטר,jard,nouns,2.75
146,לדעת,zapominać,verbs,0.5
147,אי,marynarka,nouns,0.25
148,להיעלם,kurczyć się,verbs,2.05
149,ביושר,szczerze,adverbs,5.2
150,נורא,głośno,adverbs,0.4
151,גיטרה,pstrąg,nouns,0.05
152,תורה,hymn,nouns,0.55
153,עליון,piąty,adjectives,0.25
154,טלויזיה,komunikacja,nouns,1.6
155,כביש,zadanie,nouns,0.05
156,לתת,otrzymywać,verbs,1.1
157,שפע,obfitość,nouns,3.95
158,למצוא,uciec,verbs,0.4
159,לשחוק,zezwalać,verbs,0.05
160,סמל,pistolet,nouns,0.35
161,לזהור,świecić,verbs,4.45
162,סיפון,podłoga,nouns,2.3
163,צבא,legion,nouns,2.95
164,מטומטם,głupi,adjectives,5.15
165,תא,telefon,nouns,0.95
166,צמחייה,natura,nouns,2.7
167,תשלום,wynagrodzenie,nouns,5.0
168,נחמד,okrutny,adjectives,0.4
169,לטאה,wąż ,nouns,1.25
170,קצין,deputowany,nouns,1.9
171,ממתק,jabłko,nouns,0.8
172,מעוקל,zakrzywiony,adjectives,4.7
173,הערה,zlecenie,nouns,0.65
174,בהירות,gwiazda,nouns,1.25
175,דת,sekularysta,nouns,0.6
176,קסנופוביה,rasizm,nouns,2.5
177,לרדוף,złapać,verbs,1.35
178,מכני,elektryczny,adjectives,0.85
179,בצדקנות,dojrzale,adverbs,1.2
180,ליצור,budować,verbs,4.2
181,מותן,żołądek,nouns,0.55
182,שיבולת שועל,pole,nouns,1.5
183,גודל,głębia,nouns,1.65
184,להפוך,organizować,verbs,0.6
185,סרט,teatr,nouns,1.35
186,מזוייף,prawdziwy,adjectives,0.5
187,לפזול,razić,verbs,0.75
188,פשע,atak,nouns,2.3
189,סטטיסטיקה,tenis,nouns,0.15
190,זרוע,szyja,nouns,0.8
191,עצום,tępy,adjectives,0.1
192,סופית,inaczej,adverbs,0.4
193,סעודה,zupa,nouns,1.7
194,להלוות,być dłużnym,verbs,2.1
195,לחלק,mnożyć,verbs,0.9
196,לקבל,odmawiać,verbs,0.45
197,אל,ofiara,nouns,0.05
198,להגיע,przynieść,verbs,0.3
199,ללכת,sprzedawać,verbs,0.05
200,לדרוש,ganić,verbs,1.7
201,אישה,dżinsy,nouns,0.3
202,קש,hymn,nouns,0.0
203,מתוחכם,dojrzały,adjectives,1.3
204,להריח,psuć,verbs,0.65
205,ייחודי,przeciwny,adjectives,0.3
206,נושא,opowieść,nouns,1.15
207,לתפוס,ścigać,verbs,1.35
208,תמימות דעים,waluta,nouns,0.6
209,אומניפוטנטיות,supremacja,nouns,1.9
210,הדיינות,dyplomacja,nouns,2.15
211,קומביין,trzcina cukrowa,nouns,0.3
212,בלתי נסלח,pozamałżeński,adjectives,0.2
213,באופן שולי,pobieżnie,adverbs,1.0
