ID,ENG,HEB,PoS,score
1,protestant,נוצרי,nouns,2.83
2,go,למכור,verbs,0.05
3,unfairly,בהגינות,adverbs,0.54
4,firmly,ברוגע,adverbs,0.46
5,president,זיהום,nouns,0.17
6,age,יופי,nouns,0.57
7,necessary,חשוב,adjectives,3.65
8,weekend,מרוץ,nouns,0.05
9,cinema,אופרה,nouns,1.43
10,calendar,חג,nouns,0.86
11,episode,תקופה,nouns,3.21
12,mother,רעיה,nouns,2.13
13,animal,אדם,nouns,1.01
14,fraternity,בייסבול,nouns,0.25
15,parsley,מאפין,nouns,0.4
16,furniture,מיטה,nouns,1.74
17,wall,מבצר,nouns,0.81
18,walk,לעמוד,verbs,0.84
19,book,מידע,nouns,1.16
20,dishonest,ישר,adjectives,0.54
21,freedom,חופש,nouns,5.42
22,away,בבית,adverbs,0.71
23,urgently,במהירות,adverbs,3.21
24,routinely,בדרך כלל,adverbs,4.72
25,sell,להזכיר,verbs,0.0
26,construct,להרוס,verbs,0.54
27,red,כחול,adjectives,1.06
28,floor,גג,nouns,0.85
29,rat,עכבר,nouns,2.61
30,search,לשוטט,verbs,0.98
31,haze,ענן,nouns,2.26
32,government,לטאה,nouns,0.05
33,unanticipated,לא צפוי,adjectives,5.51
34,endurance,חוזק,nouns,2.78
35,irresponsible,ילדותי,adjectives,2.5
36,angel,שד,nouns,0.77
37,mouse,מיכל,nouns,0.0
38,narrow,לבן,adjectives,0.0
39,brainstorming,טלסקופ,nouns,0.0
40,popcorn,קולנוע,nouns,0.61
41,alien,זר,nouns,2.22
42,partner,בחור,nouns,0.77
43,shower,מנזר,nouns,0.0
44,cattle,פרה,nouns,3.44
45,buddy,ידיד,nouns,4.71
46,molecule,אטום,nouns,2.19
47,come,להביא,verbs,0.29
48,endurance,רצועה,nouns,0.1
49,destroy,ליצור,verbs,0.54
50,baby,מבוגר,nouns,0.85
51,remind,להגיד,verbs,1.66
52,narrow,רחב,adjectives,0.54
53,gold,אבץ,nouns,1.16
54,begin,להפסיק,verbs,0.54
55,state,בית,nouns,0.92
56,tooth,פה,nouns,1.23
57,maple,אלון,nouns,1.57
58,bible,המנון,nouns,0.58
59,friend,בחור,nouns,1.36
60,mood,כעס,nouns,1.04
61,car,גשר,nouns,0.4
62,argue,לשכנע,verbs,1.71
63,tail,צוק,nouns,0.0
64,husband,גבר,nouns,2.26
65,shake,לבחוש,verbs,1.77
66,absorb,לסגת,verbs,0.2
67,argue,להצדיק,verbs,2.08
68,sugarcane,קומביין,nouns,0.25
69,opinion,בחירה,nouns,1.19
70,dawn,אקדח,nouns,0.0
71,ice,שלג,nouns,2.86
72,song,בלדה,nouns,3.71
73,safety,נוחות,nouns,1.26
74,worker,מעסיק,nouns,1.79
75,home,הרחק,adverbs,0.71
76,virus,דם,nouns,0.86
77,sip,לבלוע,verbs,2.63
78,program,אוכל,nouns,0.25
79,level,ניקוד,nouns,0.91
80,antecedent,עבר,nouns,2.3
81,divide,לכפול,verbs,0.96
82,beg,להפציר,verbs,4.68
83,strength,סבולת,nouns,2.78
84,gravity,מטאור,nouns,0.61
85,enter,לעזוב,verbs,0.49
86,music,מנגינה,nouns,3.07
87,liquor,יין,nouns,1.6
88,digit,מספר,nouns,5.18
89,bankruptcy,כישלון,nouns,1.32
90,stressed,נינוח,adjectives,0.54
91,bus,רכב,nouns,1.91
92,read,לנשוך,verbs,0.0
93,world,גלובוס,nouns,3.9
94,combination,איחוד,nouns,2.6
95,author,קורא,nouns,0.91
96,sculpture,אנדרטה,nouns,4.51
97,smother,לשרוף,verbs,0.35
98,decline,לקבל,verbs,0.49
99,topology,מבנה,nouns,2.26
100,massively,בפתיחות,adverbs,0.3
101,bath,עץ,nouns,0.1
102,brother,נשמה,nouns,0.1
103,liver,איבר,nouns,1.73
104,mild,בינוני,adjectives,2.23
105,boring,בינוני,adjectives,1.52
106,handicraft,מסורת,nouns,0.71
107,knee,זרוע,nouns,0.79
108,sea,חוף,nouns,1.61
109,sober,שיכור,adjectives,0.54
110,protect,להציל,verbs,2.67
111,administration,הנהלה,nouns,2.72
112,wood,קורה,nouns,2.24
113,peacefully,ברוגע,adverbs,4.75
114,negative,לעולם לא,adjectives,1.05
115,smell,לקלקל,verbs,0.09
116,easy,גמיש,adjectives,1.58
117,discover,לחקור,verbs,2.5
118,dress,ריקוד,nouns,0.35
119,joystick,רדאר,nouns,0.22
120,society,תרבות,nouns,2.3
121,box,סיגר,nouns,0.42
122,linen,בד,nouns,1.98
123,offend,להעליב,verbs,4.2
124,island,חצי אי,nouns,2.02
125,atmosphere,זיהום,nouns,0.45
126,island,נסיכה,nouns,0.3
127,generously,לעולם לא,adverbs,0.45
128,recent,רענן,adjectives,3.82
