ID,EST,POL,PoS,score
1,pärl,pieniądze,nouns,0.35
2,vabastama,naciskać,verbs,0.2
3,austus,honor,nouns,2.15
4,nahk,rower,nouns,0.1
5,pall,siatkówka,nouns,1.9
6,lugu,książka,nouns,2.25
7,lusikas,sok,nouns,0.3
8,kuu,sierpień,nouns,2.0
9,sõjalaev,pancernik,nouns,4.55
10,uitama,włóczyć się,verbs,3.75
11,tuba,wanna,nouns,0.45
12,tooma,przyjść,verbs,0.55
13,lennujaam,kawałek,nouns,0.0
14,päike,niebo,nouns,1.4
15,jumal,diabeł,nouns,0.65
16,jagama,łączyć,verbs,0.55
17,kurbus,szczęscie,nouns,0.5
18,purustamine,konstrukcja,nouns,0.45
19,müts,pudełko,nouns,0.25
20,rahakorjamine,wydarzenie,nouns,0.8
21,hammustama,walczyć,verbs,1.0
22,alluma,karać,verbs,0.7
23,võimalikult,optymistycznie,adverbs,1.1
24,võlur,kabel,nouns,0.0
25,võtma,nieść,verbs,0.55
26,ebamäärane,niejasny,adjectives,4.35
27,rahe,deszcz,nouns,1.7
28,onupojapoliitika,król,nouns,1.0
29,kõri,język,nouns,1.05
30,sotsiobioloogia,mutant,nouns,0.5
31,ärritama,zniechęcać,verbs,1.55
32,vali,niegrzeczny,adjectives,1.3
33,küps,wyrafinowany,adjectives,1.35
34,õlg,ciało,nouns,1.0
35,jõukus,bieda,nouns,0.5
36,tuntud,narodowy,adjectives,0.75
37,bronhiit,acetaminofen,nouns,0.75
38,magus,elektryczny,adjectives,0.1
39,õppima,dezorientować,verbs,0.3
40,sümbol,znak,nouns,5.2
41,vend,dusza,nouns,0.45
42,munk,ksiądz,nouns,2.25
43,võileib,obiad,nouns,0.65
44,jäik,kruchy,adjectives,0.4
45,märkima,krytykować,verbs,1.15
46,kaetud,ubrany,adjectives,2.9
47,hoone,pokój,nouns,1.3
48,üritama,zamierzać,verbs,2.35
49,ebanormaalselt,normalnie,adverbs,0.3
50,päikeseloojang,stół,nouns,0.05
51,fantastiliselt,niesamowicie,adverbs,4.75
52,juhtuma,robić,verbs,0.7
53,saabuma,przyjść,verbs,4.25
54,õpetama,karać,verbs,0.1
55,sajand,rok,nouns,1.15
56,uskumus,wrażenie,nouns,1.6
57,tervitama,spotykać,verbs,1.25
58,mull,mydliny,nouns,2.0
59,amet,kierownictwo,nouns,1.15
60,põhi,południe,nouns,0.7
61,kokkulepe,argument,nouns,0.7
62,õnnetu,obłąkany,adjectives,0.55
63,aatom,węgiel,nouns,1.35
64,varsti,natychmiast,adverbs,1.85
65,õun,dieta,nouns,0.35
66,kääbuskasvu,przymały,adjectives,3.6
67,siduma,jednoczyć,verbs,3.65
68,tähendusrikkalt,specjalnie,adverbs,2.1
69,aastaeg,zima,nouns,3.25
70,võlgnema,pożyczyć,verbs,1.75
71,sipelgas,pszczoła,nouns,0.9
72,kahtlusalune,mężczyzna,nouns,0.7
73,taburet,krzesło,nouns,3.55
74,võidusõit,filozof,nouns,0.0
75,tuntud,popularny,adjectives,4.45
76,käänamine,infekcja,nouns,0.05
77,täiskasvanud,niedojrzały,adjectives,0.2
78,kuhjatud,ciężki,adjectives,1.15
79,teema,książka,nouns,0.6
80,oluline,pomniejszy,adjectives,0.3
81,töötaja,pracodawca,nouns,1.2
82,valgus,klawiatura,nouns,0.1
83,seisund,pakt,nouns,0.9
84,kergeusklik,głupi,adjectives,2.7
85,saama,osiągnąć,verbs,2.1
86,saar,półwysep,nouns,1.85
87,võimas,słaby,adjectives,0.1
88,huul,usta,nouns,3.05
89,peatuma,zabraniać,verbs,1.1
90,tuntud,zdrowy,adjectives,0.35
91,veenma,próbować,verbs,1.35
92,privaatne,osobisty,adjectives,5.5
