ID,RUS,SPA,PoS,score
1,чемпион,ganador,nouns,4.75
2,несправедливо,justamente,adverbs,0.15
3,соглашаться,discrepar,verbs,0.45
4,стена,decoración,nouns,0.95
5,дискуссия,discusión,nouns,3.25
6,странный,ordinario,adjectives,0.15
7,массивно,abiertamente,adverbs,0.25
8,видимо,simplemente,adverbs,0.9
9,остров,península,nouns,1.3
10,помощница,mucama,nouns,3.0
11,кредит,prestatario,nouns,2.15
12,урок,caos,nouns,0.2
13,облако,clima,nouns,0.75
14,север,oeste,nouns,0.4
15,дельта,mar,nouns,0.75
16,тонко,ruidosamente,adverbs,0.05
17,гостиница,motel,nouns,3.65
18,широкий,estrecho,adjectives,0.15
19,судить,testificar,verbs,0.5
20,совпадение,moneda,nouns,0.15
21,рассвет,noche,nouns,0.55
22,организовывать,volverse,verbs,0.25
23,забывать,ignorar,verbs,2.25
24,мясо,carne de vaca,nouns,3.25
25,курятина,filete,nouns,1.7
26,тема,libro,nouns,1.05
27,разрешать,aprobar,verbs,2.95
28,ездить,correr,verbs,0.4
29,гитара,violín,nouns,0.7
30,отрекаться,dar,verbs,0.05
31,минута,segundo,nouns,1.8
32,пристыженный,culpable,adjectives,2.15
33,прекрасный,horrible,adjectives,0.1
34,пестицид,parásito,nouns,0.7
35,бесформенный,uniforme,adjectives,0.3
36,защита,escudo,nouns,2.1
37,валюта,intercambio,nouns,1.2
38,стейк,pollo,nouns,1.7
39,старый,nuevo,adjectives,0.2
40,виски,alcohol,nouns,2.05
41,красота,años,nouns,0.55
42,шар,gente,nouns,0.25
43,голова,nariz,nouns,0.85
44,подчиниться,castigar,verbs,0.6
45,крупный,flexible,adjectives,0.0
46,стена,ladrillo,nouns,1.15
47,ужасный,malo,adjectives,3.73
48,прибывать,venir,verbs,2.5
49,инновационный,creativo,adjectives,3.95
50,свобода,oasis,nouns,0.2
51,счастливый,avergonzado,adjectives,0.0
52,естественно,antinaturalmente,adverbs,0.1
53,ежемесячный,semanal,adjectives,0.35
54,доставлять,tomar,verbs,0.65
55,число,dígito,nouns,4.75
56,знать,dar,verbs,0.45
57,ягненок,oveja,nouns,3.4
58,гибкий,fácil,adjectives,1.9
59,религия,materialista,nouns,0.3
60,обучение,beca,nouns,1.0
61,автомобиль,coche,nouns,5.6
62,озеро,nube,nouns,0.3
63,правонарушитель,criminal,nouns,4.65
64,прикреплять,separar,verbs,0.05
65,опасность,amenaza,nouns,4.55
66,редкий,tonto,adjectives,0.1
67,полицейский,político,nouns,0.3
68,падать,herir,verbs,1.0
69,кость,rodilla,nouns,1.05
70,плохой,culpable,adjectives,0.9
71,груженный,pesado,adjectives,2.75
72,долина,cañón,nouns,1.7
73,мягко,firmemente,adverbs,0.2
74,драться,morder,verbs,0.65
75,указатель,diapositiva,nouns,0.25
76,заглавное слово,sintaxis,nouns,0.6
77,ядро,cañón,nouns,0.8
78,предубеждение,opinión,nouns,2.3
79,критично,esencialmente,adverbs,0.7
80,равномерно,a veces,adverbs,0.15
81,ракетка,pelota,nouns,1.25
82,дюйм,metro,nouns,1.3
83,разница,recordatorio,nouns,1.1
84,огорчать,desalentar,verbs,0.3
85,капитал,dinero,nouns,4.2
86,дорога,autopista,nouns,4.4
87,экран,monitor,nouns,4.7
88,выбор,cárcel,nouns,0.15
89,спальня,cama,nouns,1.35
90,автострада,coche,nouns,1.25
91,сообразительный,tonto,adjectives,0.25
92,ужин,desayuno,nouns,0.7
93,табуретка,silla,nouns,3.05
94,атака,delito,nouns,1.1
