ID,POL,SPA,PoS,score
1,ojciec,hijo,nouns,1.35
2,symulacja,robótica,nouns,0.9
3,cent,gente,nouns,0.1
4,psuć,oler,verbs,0.6
5,cygaro,tubo,nouns,0.25
6,inaczej,extrañamente,adverbs,1.7
7,informacja,libro,nouns,1.05
8,tryb,moda,nouns,0.2
9,ogon,cuenco,nouns,0.1
10,porwać,robar,verbs,1.65
11,tsunami,mar,nouns,1.25
12,oszczędzać,gastar,verbs,0.05
13,łokieć,hueso,nouns,1.0
14,biegać,montar,verbs,0.3
15,jechać,detener,verbs,0.3
16,kura,pájaro,nouns,2.45
17,paznokieć,pulgar,nouns,1.4
18,choroba,cáncer,nouns,3.45
19,unikać,rechazar,verbs,2.55
20,wymiana,reemplazo,nouns,3.15
21,święty,precioso,adjectives,1.45
22,wskazówka,palabra,nouns,0.55
23,życzliwie,suavemente,adverbs,2.15
24,pośpieszny,rápido,adjectives,5.3
25,pokój,soldado,nouns,0.3
26,zachód słońca,mesa,nouns,0.05
27,kierownictwo,ratón,nouns,0.05
28,kuchnia,puerta,nouns,0.45
29,głowa,nariz,nouns,0.9
30,balon,gente,nouns,0.3
31,pszczoła,insecto,nouns,2.85
32,dać,recibir,verbs,0.35
33,gazeta,palabra,nouns,0.75
34,strona,palabra,nouns,0.6
35,fakt,visión,nouns,1.05
36,telewizja,actor,nouns,0.7
37,rutynowo,normalmente,adverbs,3.95
38,zapominać,aprender,verbs,0.05
39,trudność,esfuerzo,nouns,3.1
40,napletek,circuncisión,nouns,1.6
41,gazeta,información,nouns,1.8
42,stek,carne,nouns,3.8
43,radość,orgullo,nouns,1.35
44,owies,campo,nouns,0.95
45,sprawiedliwie,injustamente,adverbs,0.05
46,idealnie,de modo realista,adverbs,0.8
47,uczyć się,olvidar,verbs,0.05
48,głodny,sediento,adjectives,1.1
49,trząść,recoger,verbs,0.25
50,hipoteza,teoría,nouns,4.0
51,stopa,mano,nouns,0.9
52,kanapa,cama,nouns,2.85
53,obcokrajowiec,traductor,nouns,0.45
54,teleskop,silla,nouns,0.1
55,koń,perro,nouns,0.55
56,adidasy,medalla,nouns,0.15
57,ciąg,lista,nouns,1.05
58,slajd,puntero,nouns,0.25
59,drzwi,pasillo,nouns,0.4
60,pojęcie,creencia,nouns,1.85
61,sędzia,magistrado,nouns,3.45
62,obfitość,mucho,nouns,4.75
63,wychodzić,entrar,verbs,0.3
64,wymagać,preguntar,verbs,1.05
65,niebo,sueño,nouns,0.25
66,wygrać,tener éxito,verbs,2.85
67,powiedzieć,participar,verbs,0.6
68,arogancki,orgulloso,adjectives,2.85
69,prawdopodobnie,quizás,adverbs,4.4
70,ręka,pie,nouns,0.9
71,zderzyć się,chocarse,verbs,2.05
72,usta,labio,nouns,3.05
73,podejrzewać,arrestar,verbs,1.0
74,ogon,acantilado,nouns,0.0
75,własna osoba,confianza,nouns,1.05
76,ryż,pollo,nouns,0.3
77,obiecywać,jurar,verbs,4.9
78,oko,lágrima,nouns,0.8
79,styl życia,civilización,nouns,0.9
80,szczęśliwy,enojado,adjectives,0.15
81,mysz,gato,nouns,0.4
82,początkowo,creativamente,adverbs,1.15
83,świeży,antiguo,adjectives,0.0
84,krew,carne,nouns,0.6
85,sok,leche,nouns,0.65
86,talerz,cuenco,nouns,2.75
87,nużący,seguro,adjectives,0.05
88,koc,vendaval,nouns,0.05
89,zatrzymywać,mantener,verbs,4.25
90,wiedzieć,olvidar,verbs,0.1
91,koledż,profesión,nouns,0.5
92,trawa,raíz,nouns,0.8
93,piłka,raqueta,nouns,0.75
94,spotykać,nadar,verbs,0.0
95,wybaczać,olvidar,verbs,2.15
96,utykać,caminar,verbs,0.85
97,dzień,amanecer,nouns,2.3
98,oskarżać,juzgar,verbs,3.6
99,pchać,tirar,verbs,1.2
100,gitara,tambor,nouns,0.85
101,ciało,pecho,nouns,1.45
102,atom,carbón,nouns,1.35
103,niemowlę,hija,nouns,2.75
104,unikać,ignorar,verbs,3.2
105,ostrzegać,detener,verbs,0.55
106,ciężki,fácil,adjectives,0.1
107,trudny,simple,adjectives,0.1
108,mierny,malo,adjectives,2.55
109,szczęka,hueso,nouns,1.15
110,sztuczny,0,adjectives,3.9
111,zachmurzenie,pronóstico,nouns,0.75
112,komputer,máquina,nouns,3.85
113,przemysł,negocio,nouns,2.7
114,teoria,teorema,nouns,4.3
115,tkać,movimiento,verbs,0.15
116,myć,enjuagar,verbs,3.6
117,zły,genial,adjectives,0.05
118,planeta,estrella,nouns,2.25
119,eksplorować,ignorar,verbs,0.1
120,pikantny,bueno,adjectives,0.25
121,informacja,periódico,nouns,1.8
122,wystraszony,emocionado,adjectives,0.6
