ID,POL,YUE,PoS,score
1,bydło,牛肉,nouns,2.84
2,wisieć,放,verbs,0.56
3,dziecko,成人,nouns,0.28
4,sensor,散熱器,nouns,0.41
5,fasola,米飯,nouns,0.57
6,szczerze,平時,adverbs,0.53
7,neutralny,未定,adjectives,1.42
8,silnik,活塞,nouns,1.36
9,zgadzać się,不同意,verbs,0.09
10,samochód,街,nouns,0.47
11,opowieść,話題,nouns,0.91
12,adidasy,獎章,nouns,0.1
13,sacharoza,醣類,nouns,2.19
14,mężczyzna,父親,nouns,2.47
15,niemoralny,非法,adjectives,2.07
16,wąski,寬大,adjectives,0.09
17,sytuacja,狀況,nouns,5.13
18,kryminalista,犯罪者,nouns,5.38
19,daleko,在家裡,adverbs,0.09
20,bóg,魔鬼,nouns,0.1
21,wyrafinowany,成熟,adjectives,1.02
22,głębia,大小,nouns,0.83
23,opłata,工資,nouns,1.14
24,duży,寬廣,adjectives,2.5
25,przywrócić,修理,verbs,1.69
26,odrzutowiec,飛機,nouns,3.73
27,mięso,牛肉,nouns,3.79
28,maska,派對,nouns,0.39
29,łatwo,舒服地,adverbs,1.6
30,osoba,動物,nouns,0.18
31,skóra,自行車,nouns,0.04
32,bok,下面,nouns,0.38
33,drewno,毯,nouns,0.0
34,biedny,孤獨,adjectives,0.45
35,twardy,强硬,adjectives,3.42
36,rower,睡房,nouns,0.0
37,pudełko,電梯,nouns,0.15
38,wpłynąć,傾向,verbs,3.13
39,broń,頭盔,nouns,1.12
40,przekonanie,花,nouns,0.0
41,przyłączyć się,離開,verbs,0.0
42,hołubić,保持,verbs,0.1
43,dostać,放,verbs,0.0
44,kula,球,nouns,3.16
45,później,從未,adverbs,0.3
46,rękodzieło,傳統,nouns,0.28
47,ściana,裝飾,nouns,0.38
48,niecenzuralny,婚外,adjectives,0.33
49,ratować,毀滅,verbs,0.04
50,inteligencja,邏輯,nouns,2.61
51,wiśnia,士多啤梨,nouns,2.47
52,konwersja,高度,nouns,0.24
53,zadowalać,滿足,verbs,5.04
54,wyrażać,說,verbs,2.98
55,radar,操縱桿,nouns,0.09
56,sprawiedliwość,權利,nouns,0.93
57,stodoła,屋,nouns,0.67
58,liść,幼苗,nouns,0.65
59,przymały,矬小,adjectives,3.51
60,król,統治者,nouns,4.93
61,pozdrawiać,見面,verbs,0.81
62,drzeć,穿,verbs,0.0
63,dysza,流體,nouns,0.14
64,młody,焦躁不安,adjectives,0.45
65,ostrzegać,停,verbs,0.29
66,dzień,晚上,nouns,0.18
67,cent,尺寸,nouns,0.04
68,ściana,城堡,nouns,0.14
69,zawód,學院,nouns,0.04
70,napadać,加劇,verbs,0.49
71,porwać,偷,verbs,1.03
72,wschód słońca,日落,nouns,0.47
73,taksówka,的士,nouns,5.95
74,obciążać,蔑視,verbs,0.1
75,dyskretnie,有禮貌地,adverbs,1.19
76,szklanka,徽章,nouns,0.14
77,nabiał,蜜糖,nouns,0.18
78,pozwalać,贊成,verbs,3.68
79,depresja,谷,nouns,2.02
80,mąka,麵包,nouns,0.62
81,kanapa,床,nouns,3.17
82,miły,残酷,adjectives,0.0
83,film,劇院,nouns,1.54
84,giętki,大,adjectives,0.04
85,kostka,窗口,nouns,0.09
