ID,FRA,SWA,PoS,score
1,voyage,mwendo,nouns,3.65
2,prison,kizuizi,nouns,3.6
3,créateur,mtengenezaji,nouns,5.05
4,complètement,kwa ukamilifu,adverbs,0.95
5,parler,kutambua,verbs,0.35
6,bruit,sauti,nouns,4.4
7,rejeter,kukataa,verbs,0.55
8,assiette,bakuli,nouns,3.0
9,tisser,kufuma,verbs,0.2
10,garçon,kaka,nouns,2.7
11,gaspiller,takataka,verbs,0.15
12,grange,nyumba,nouns,2.6
13,aube,bunduki,nouns,0.05
14,grossièrement,takribani,adverbs,0.9
15,épée,panga,nouns,0.05
16,alcool,jini,nouns,3.15
17,poulain,farasi,nouns,4.15
18,espace,mkoa,nouns,3.6
19,pointeur,kionyeshi,nouns,0.1
20,humide,lowa,adjectives,1.2
21,orthodontiste,mtaalamu wa meno,nouns,5.05
22,pardonner,kusamehe,verbs,5.35
23,lâche,pwaya,adjectives,1.1
24,posséder,kufyonza,verbs,0.55
25,historiographe,mwanahistoria,nouns,5.0
26,fermement,kiukakamavu,adverbs,0.65
27,étreindre,kukumbatia,verbs,3.2
28,persuader,kufuatilia,verbs,0.65
29,droit,nyooka,adjectives,0.9
30,boeuf,nyama ya ng'ombe,nouns,3.4
31,acoustique,akustik,nouns,3.7
32,dur,rahisi,adjectives,0.75
33,réussir,kufanikisha,verbs,5.15
34,facilement,kiurahisi,adverbs,0.3
35,diode,diode,nouns,1.7
36,rabbin,mchungaji,nouns,1.15
37,faire,kuchuma,verbs,0.5
38,citron,chai,nouns,0.9
39,précisément,kwa usahihi,adverbs,0.75
40,copilote,rubani msaidizi,nouns,0.4
41,tuer,kunyonga,verbs,4.05
42,nerveux,kuoga,adjectives,0.15
43,canapé,kiti,nouns,3.5
44,rue,gari,nouns,0.65
45,queue,bakuli,nouns,0.05
46,fille,kijana,nouns,1.85
47,champagne,wiski,nouns,3.4
48,accuser,kushtaki,verbs,0.5
49,imaginer,kujifanya,verbs,0.85
50,regarder,kuangalia,verbs,2.6
51,tabac,sigara,nouns,4.45
52,concrètement,kihalisia,adverbs,1.25
53,mince,mwembamba,adjectives,5.1
54,semaine,wikendi,nouns,2.35
55,tacot,motokaa,nouns,4.2
56,loucher,kufinya macho,verbs,0.3
57,entraîneur,kocha,nouns,1.9
58,cours,chuo,nouns,2.75
59,vomir,kutapika,verbs,0.05
60,vêtement,jaketi,nouns,3.3
61,aggraver,kukuza,verbs,0.2
62,chat,sungura,nouns,1.15
63,désespoir,taabu,nouns,3.0
64,wagon,chombo,nouns,0.2
65,autruche,mbuni,nouns,0.05
66,suffrage,haki ya upigaji kura,nouns,0.3
67,milliardaire,bilionea,nouns,0.75
68,collecte de fonds,mfadhili,nouns,0.85
69,vélo,baiskeli,nouns,0.2
70,foie,kiungo,nouns,2.8
71,gant,mpira,nouns,1.4
72,renier,kukataliwa,verbs,1.75
73,alphabet,alphabeti,nouns,0.55
74,tuteur,mtu mzima,nouns,2.4
75,bain,puto,nouns,0.1
76,faire,kuwa,verbs,0.6
77,plage,bahari,nouns,3.05
78,intestin,neva,nouns,0.9
79,femme,senti,nouns,0.05
80,modeste,ana aibu,adjectives,0.55
81,compositeur,mwandishi,nouns,4.2
82,flexible,rahisi kubadilika,adjectives,1.1
83,courbé,isiyonyooka,adjectives,5.6
84,brume,wingu,nouns,2.65
85,gomme,fizi,nouns,0.5
86,arithmétique,pigo,nouns,0.1
87,accepter,kuamini,verbs,2.8
88,sphère,mviringo,nouns,2.3
89,découvrir,kutokana,verbs,0.3
90,sentir,kunusa,verbs,0.1
91,os,kifundo cha mguu,nouns,2.05
92,télescope,darubini,nouns,0.05
