ID,HEB,YUE,PoS,score
1,גב,身體,nouns,1.13
2,בערך,容易地,adverbs,0.47
3,להבין,讀,verbs,0.87
4,דשן,發展,nouns,0.97
5,חוקה,皇帝,nouns,0.48
6,טוב,聞名,adjectives,0.9
7,בטוח,緊張,adjectives,0.2
8,מיד,不久,adverbs,1.22
9,אלים,被動,adjectives,0.34
10,לסיים לימודים,完成,verbs,1.26
11,אזור,角,nouns,0.7
12,פופקורן,電影,nouns,0.82
13,מדוייק,錯誤,adjectives,0.64
14,סכנה,疾病,nouns,0.96
15,מאמר מערכת,新聞,nouns,2.37
16,עץ,葉,nouns,1.17
17,חסר אונים,脆弱,adjectives,2.6
18,באמת,完美地,adverbs,0.89
19,שטח,區城,nouns,4.44
20,קלף,橋,nouns,0.7
21,מוסכמה,規則,nouns,2.91
22,קערה,碟,nouns,2.58
23,להצליח,節約,verbs,0.5
24,חברותי,友好,adjectives,3.13
25,בזהירות,小心地,adverbs,4.21
26,לשלם,購買,verbs,2.93
27,באולינג,保齡球選手,nouns,2.37
28,להאמין,知道,verbs,0.68
29,לשכנע,拗撬,verbs,1.18
30,לתעב,收費,verbs,0.4
31,קובייה,玩具,nouns,0.84
32,פחמימה,蔗糖,nouns,2.09
33,באופן אחראי,可靠,adverbs,2.9
34,הר געש,岩漿,nouns,1.71
35,איבר,腎,nouns,2.78
36,לאחר מכן,從未,adverbs,0.35
37,לעזוב,到達,verbs,0.45
38,לשלב,聯合,verbs,4.01
39,בבטחה,高高興興地,adverbs,0.61
40,מאוד,明亮地,adverbs,0.65
41,דשא,苔蘚,nouns,2.17
42,במדוייק,精確地,adverbs,4.77
43,לילה,章節,nouns,0.05
44,להקשיב,說話,verbs,0.59
45,דבורה,女王,nouns,0.6
46,לחמניה,公主,nouns,0.0
47,לנער,收集,verbs,0.1
48,כימיה,理論,nouns,0.24
49,בקרוב,立即,adverbs,1.22
50,תפריט,點菜,nouns,1.01
51,מלך,王子,nouns,2.33
52,שריר,舌頭,nouns,0.83
53,עסק,工業,nouns,2.32
54,לקבל,拒絕,verbs,0.89
55,כסף,鑽石,nouns,0.96
56,חצי אי,島,nouns,2.29
57,יקום,天空,nouns,1.99
58,כותנה,冷衫,nouns,0.93
59,מטומטם,巨大,adjectives,0.19
60,משימה,稻草,nouns,0.0
61,מנעול,鎖匙,nouns,1.25
62,בכנות,平時,adverbs,0.28
63,ויזה,全球化,nouns,0.53
64,מוות,葬禮,nouns,2.33
65,דגל,旗幟學,nouns,1.21
66,בשמחה,積極地,adverbs,0.76
67,גוף,肚,nouns,2.13
68,ריקוד,裙,nouns,0.35
69,הרס,建造,nouns,0.64
70,הנהלה,老鼠,nouns,0.04
71,לחקור,檢查,verbs,3.79
72,כדור,大炮,nouns,0.59
73,בכנות,誠實地,adverbs,4.88
74,שמח,嬲,adjectives,0.64
75,לנסוג,離開,verbs,3.7
76,פרפסיכולוגיה,神經心理學,nouns,0.7
77,להגיד,參與,verbs,0.3
78,מעי,神經,nouns,0.43
79,לרדוף,抓住,verbs,1.18
80,להתחיל,起源,verbs,2.44
81,לשוחח,說明,verbs,1.06
82,בייקון,早餐,nouns,0.92
83,להביא,恢復,verbs,0.78
84,נורמלי,奇怪,adjectives,0.59
