ID,FRA,HEB,PoS,score
1,essayer,לשכנע,verbs,1.1
2,extraverti,נכנס,adjectives,0.75
3,déni,וידוי,nouns,1.2
4,saut d'obstacles,גדר,nouns,1.4
5,perdre,לשמור,verbs,1.1
6,parler,להקשיב,verbs,1.45
7,humilier,לנחם,verbs,0.8
8,sous-vêtement,גוף,nouns,1.05
9,demander,להתחנן,verbs,3.6
10,élire,לבחור,verbs,4.05
11,fils,ילד,nouns,4.05
12,millionnaire,דולר,nouns,1.6
13,adulte,ילד,nouns,1.9
14,banquier,פרקליט,nouns,1.5
15,flûte,מוזיקה,nouns,2.05
16,argent,פנינה,nouns,1.25
17,cesser,לעשות,verbs,1.05
18,juger,להעיד,verbs,1.45
19,avion,סדין,nouns,0.05
20,gravité,מטאור,nouns,1.2
21,bétail,פרה,nouns,4.0
22,cesser,להתחיל,verbs,1.3
23,présence,היעדרות,nouns,1.6
24,décourager,להרגיז,verbs,1.6
25,air,הליום,nouns,2.3
26,dernièrement,לאחרונה,adverbs,5.7
27,bain,עץ,nouns,0.1
28,idée,תכנית,nouns,2.5
29,haricot,קפה,nouns,1.05
30,presser,לשחרר,verbs,0.65
31,noyer,להציל,verbs,1.3
32,laisser,להרשות,verbs,4.9
33,juriste,משפטן,nouns,4.4
34,provenir,להתחיל,verbs,1.2
35,bière,אלכוהול,nouns,2.95
36,brume,גשם,nouns,2.55
37,en phase terminale,בעיקר,adverbs,0.0
38,nuage,חלון,nouns,0.7
39,grandement,ברצינות,adverbs,2.45
40,baseball,ספה,nouns,0.15
41,accomplir,להצדיע,verbs,0.4
42,centime,אנשים,nouns,0.7
43,pistolet,פרווה,nouns,0.05
44,tuer,להרוס,verbs,2.5
45,probablement,ייתכן,adverbs,4.6
46,brouillard,ענן,nouns,2.85
47,dîner,ארוחה,nouns,5.35
48,canne à sucre,קומביין,nouns,0.55
49,hurler,להתווכח,verbs,2.05
50,critique,חצוף,adjectives,0.85
51,envoyer,להביא,verbs,1.6
52,réfuter,להרשות,verbs,0.35
53,cours,מכללה,nouns,2.15
